,21,22,23,24,25,"2,25,19,21,3","2,25,19,22,3","2,25,19,23,3","2,25,19,24,3","2,25,13,3","2,22,11,3","2,22,7,3",26
0,10.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-0.5365729180004349,1.0
1,5.0,15.0,0.0,1.0,81.6,0.10606769614724693,0.3182030884417408,0.0,0.10933940774487472,1.0,0.875,0.6502878401571168,0.0
2,2.0,13.0,0.0,1.0,2.3,0.0011958612800915093,0.007773098320594811,0.0,0.0030818705614364195,0.9088770389851438,0.625,0.4201670368266409,0.0
3,11.0,0.0,0.0,1.0,96.6,0.27624395570113863,0.0,0.0,0.12943856358032962,1.0,-1.0,0.0,0.0
4,13.0,9.0,0.0,0.0,2.9,0.009800863099880413,0.0067852129153018245,0.0,0.0,0.9478464369215823,0.125,0.4121184852417566,1.0
5,0.0,16.0,0.0,0.0,4.3,0.0,0.01788592523267301,0.0,0.0,0.9866130821723351,1.0,-0.2879033166650653,1.0
6,10.0,7.0,1.0,0.0,7.0,0.018197889044870796,0.012738522331409556,0.10248901903367497,0.0,0.9990889488055994,-0.125,0.6569865987187891,1.0
7,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.625,0.1411200080598672,1.0
8,13.0,16.0,1.0,1.0,4.9,0.016560079030832425,0.020381635730255292,0.07174231332357248,0.006565724239581938,0.9926084586557181,1.0,-0.2879033166650653,1.0
9,7.0,15.0,0.0,1.0,20.3,0.036941714761087714,0.07916081734518796,0.0,0.027200857563982314,0.9999999984730599,0.875,0.6502878401571168,1.0
10,3.0,12.0,0.0,1.0,6.4,0.004991420995164562,0.019965683980658247,0.0,0.008575639823127429,0.9983411989198255,0.5,-0.5365729180004349,1.0
11,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-0.5365729180004349,1.0
12,3.0,8.0,1.0,0.0,0.6,0.00046794571829667756,0.0012478552487911402,0.008784773060029283,0.0,0.6456563062257954,0.0,0.9893582466233818,1.0
13,13.0,0.0,0.0,1.0,97.1,0.32815993344772004,0.0,0.0,0.13010853544151146,1.0,-1.0,0.0,0.0
14,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.7568024953079282,1.0
15,0.0,11.0,0.0,0.0,3.6,0.0,0.010294805802526908,0.0,0.0,0.973403006423134,0.375,-0.9999902065507035,1.0
16,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.375,-0.9589242746631385,1.0
17,4.0,4.0,0.0,1.0,239.3,0.24884313419643322,0.24884313419643322,0.0,0.320648532761624,1.0,-0.5,-0.7568024953079282,0.0
18,14.0,10.0,0.0,1.0,26.7,0.09717672749961005,0.06941194821400717,0.0,0.035776497387109744,0.9999999999974629,0.25,-0.5440211108893698,0.0
19,11.0,14.0,0.0,0.0,0.9,0.002573701450631727,0.003275620028076743,0.0,0.0,0.7109495026250039,0.75,0.9906073556948704,1.0
