,21,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,"2,35,11,3","2,59,11,3","2,36,16,3","2,21,16,3","2,22,16,3","2,23,16,3","2,24,16,3","2,25,16,3","2,26,16,3","2,27,16,3","2,29,16,3","2,30,16,3","2,31,16,3","2,32,16,3","2,33,16,3","2,34,16,3","2,37,16,3","2,38,16,3","2,39,16,3","2,40,16,3","2,41,16,3","2,42,16,3","2,44,16,3","2,45,16,3","2,46,16,3","2,47,16,3","2,48,16,3","2,49,16,3","2,51,16,3","2,52,16,3","2,53,16,3","2,54,16,3","2,55,16,3","2,56,16,3","2,57,16,3","2,58,16,3","2,60,16,3","2,61,16,3","2,2,35,11,3,16,3","2,2,59,11,3,16,3","2,2,36,16,3,16,3","2,43,8,3","2,61,20,35,3","2,61,20,59,3","2,51,6,3",62
0,4.412,3.7308,0.0,0.0,0.0,0.0,30.6,2.0,8.0,0.0,-0.554,4.201,3.774,10.379,8.0,1.002,1.144,0.0,0.0,1.146,0.0,0.0,0.0,0.0,2.085,0.0,0.0,23.21,10.723,0.0,0.0,0.0,0.0,3.397,2.311,0.0,8.752,0.0,0.0,0.48711803475134774,-0.17580055877928236,0.015625,0.3170659801086189,0.10365289742445671,0.0,0.0,0.0,0.0,0.0,0.0008638375985314761,0.2962962962962963,0.0,0.8260456783691541,0.38797563857524325,0.615371532096285,0.10118913437013222,0.3085128331175855,0.0,0.0,0.0,0.22835277452846323,0.0,0.0,0.0,0.36049527391769604,0.517948942845411,0.0,0.24595810227419138,0.0,0.0,0.0,0.0,0.022736516024018723,0.04934088086624604,0.0,0.0,0.0,0.5577926529542099,0.4972833683397712,3.814697265625e-06,1.0,0.0,0.0,114.98272900000002,1.0
1,4.499,3.1284,0.0,0.0,0.0,0.0,46.7,0.0,0.0,2.0,0.0,3.013,1.125,9.311,0.0,0.984,1.116,0.0,0.0,1.299,1.0,0.0,0.0,0.0,2.136,0.045,0.0,0.0,1.481,0.0,0.0,3.0,0.0,3.608,2.208,1.0,7.967,0.0,0.0,0.2311563810665067,-0.34450891897700453,0.0,0.33815978590723395,0.060684350590011794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.391435011269723e-05,0.827014126024894,0.1303439592007373,0.01630006293357802,0.05959625372512167,0.23150505309037572,0.0,0.0,0.0,0.41024431481598045,0.0,0.0,0.0,0.3909625947121374,0.5179845003614861,0.0,0.0006231309951453635,0.0,0.0,0.004629629629629629,0.0,0.029147208291109686,0.04086524446571842,0.001953125,0.0,0.0,0.5061757209507177,0.47955573913676275,0.0,0.5403023058681398,0.0,0.0,2.1933610000000003,0.0
2,4.863,3.3599,0.0,0.0,0.0,3.0,42.1,0.0,3.0,0.0,0.0,3.335,1.273,9.967,6.0,1.027,1.12,0.0,0.0,1.216,1.0,0.0,0.0,0.0,2.283,-0.008,0.0,10.249,1.568,0.0,2.0,0.0,1.0,3.743,2.864,0.0,8.33,0.0,0.0,0.38837627321749535,-0.2664947345798412,0.006591796875,0.43561979501004783,0.07542785502433144,0.0,0.0,0.0,0.0,0.004629629629629629,0.0,0.015625,0.0,0.827014126024894,0.18397599382648586,0.023616575578517346,0.16148703537530917,0.24227321375638167,0.0,0.0,0.0,0.3059384935660395,0.0,0.0,0.0,0.48724296580388055,0.517948743059971,0.0,0.0007441822962352332,0.0,0.004629629629629629,0.0,0.0029154518950437317,0.03366317057895452,0.10923318030138059,0.0,0.0,0.0,0.5292905869399716,0.490536846119398,2.8642534743994474e-07,0.5403023058681398,0.0,0.0,2.4586240000000004,1.0
3,5.158,1.6914,2.0,36.0,0.0,9.0,56.1,0.0,0.0,44.0,0.0,4.902,0.257,11.817,0.0,1.007,1.093,0.0,0.0,1.41,147.0,0.0,1.0,2.0,2.622,0.0,0.0,0.0,1.535,0.0,1.0,16.0,0.0,5.808,2.055,8.0,11.055,0.0,1.0,0.8317555422408627,0.3191489361702122,0.0,0.5260968760146232,0.008708728144635343,0.004629629629629629,0.0,0.9999999999999999,0.0,0.12499999999999999,0.0,0.0,1.0,0.827014126024894,0.6283382878752346,0.00019432607722359252,0.11301156812621949,0.17107229227873177,0.0,0.0,0.0,0.5721196962152565,0.0,1.0,1.0,0.7611359521248637,0.517948942845411,0.0,0.0006966365821351218,0.0,0.0005787037037037037,0.7023319615912208,0.0,0.1520784054264799,0.029658389813952486,1.0,0.0,5.080526342529086e-05,0.7877114292808798,0.5162536239561566,0.0,-0.7931364191664784,0.08462384700008463,0.09045680687471733,2.356225,0.0
4,4.517,2.8827,1.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,3.84,1.409,9.391,0.0,0.985,1.094,0.0,0.0,1.389,1.0,1.0,0.0,0.0,2.149,-0.024,1.0,0.0,2.036,0.0,0.0,0.0,0.0,6.872,2.046,0.0,11.589,0.0,1.0,0.2503295386458957,0.4339136041263698,0.0,0.3426273407523911,0.04725179986434165,0.0005787037037037037,0.0,0.0,0.0,0.00017146776406035664,0.0,0.0,0.0,0.827014126024894,0.2915169715899846,0.03202319745182652,0.06186751755269371,0.17364763522464632,0.0,0.0,0.0,0.5394436067224779,1.0,0.0,0.0,0.39896570108154517,0.517943548638528,1.0,0.0016588581017736468,0.0,0.0,0.0,0.0,0.2582169492725893,0.02904857502033113,0.0,0.0,5.080526342529086e-05,0.5078434349893407,0.5408488470871426,0.0,0.5403023058681398,0.10648493238206794,0.08628872206402623,4.145296,0.0
5,3.973,3.0163,0.0,0.0,0.0,0.0,32.7,2.0,1.0,0.0,0.0,3.68,3.301,9.649,1.0,0.968,1.14,0.0,0.0,1.202,0.0,0.0,0.0,0.0,1.975,0.0,0.0,0.0,7.718,0.0,0.0,0.0,1.0,3.129,1.816,0.0,7.984,0.0,0.0,0.3121629718394243,-0.3408553621319581,3.0517578125e-05,0.22273892182647376,0.054283188966597166,0.0,0.0,0.0,0.0,0.0,0.0008638375985314761,0.0005787037037037037,0.0,0.827014126024894,0.25414522119989336,0.4117828801049681,0.023880036955633455,0.29727739251177177,0.0,0.0,0.0,0.2896814219816143,0.0,0.0,0.0,0.2996869185336437,0.517948942845411,0.0,0.09169643958987989,0.0,0.0,0.0,0.0029154518950437317,0.015667680529832646,0.015211613681351158,0.0,0.0,0.0,0.5152094729282657,0.4801993067547764,2.842170943040401e-14,1.0,0.0,0.0,59.567524,1.0
6,4.646,3.9619,0.0,0.0,0.0,0.0,34.3,2.0,5.0,0.0,-0.189,3.707,2.587,10.202,10.0,1.017,1.137,0.0,0.0,1.184,0.0,0.0,0.0,0.0,2.107,0.0,0.0,21.879,6.086,0.0,0.0,0.0,0.0,3.535,2.775,0.0,8.578,0.0,0.0,0.4446974236069501,-0.21319578766387326,0.030517578125,0.37569951743704544,0.12433962524707752,0.0,0.0,0.0,0.0,0.0,0.0008638375985314761,0.07233796296296297,0.0,0.8269756728440385,0.26022971065364997,0.19820791815057004,0.13701098363365738,0.2889023881669188,0.0,0.0,0.0,0.26932888938634925,0.0,0.0,0.0,0.3734575559873963,0.517948942845411,0.0,0.04494808582453564,0.0,0.0,0.0,0.0,0.02684166038468555,0.09783053891432414,0.0,0.0,0.0,0.5439707470620748,0.495154865213132,2.8421709430404007e-05,1.0,0.0,0.0,37.039396,1.0
7,5.995,2.3808,8.0,0.0,3.0,0.0,41.7,0.0,0.0,0.0,0.394,4.378,0.752,11.528,0.0,1.074,1.102,0.0,0.0,1.373,6.0,0.0,1.0,0.0,2.805,0.0,0.0,0.0,1.076,4.0,0.0,0.0,0.0,4.407,2.6,0.0,9.952,0.0,8.0,0.7624925104853206,0.08209757145927332,0.0,0.8445844019888652,0.026161421419011576,0.2962962962962963,0.0,0.0,0.012289485662266727,0.0,0.0,0.0,0.0,0.8273624918336648,0.4417816087052838,0.0048683885869096446,0.28304922555223755,0.19442038805324646,0.0,0.0,0.0,0.5152015744256078,0.0,1.0,0.0,0.9419147772319387,0.517948942845411,0.0,0.00022359988363628553,0.125,0.0,0.0,0.0,0.061023291911718396,0.07745431873977451,0.0,0.0,0.02601229487374892,0.7216546012006899,0.5002766692771866,0.0,0.960170286650366,0.6939625260235947,0.8038585209003215,1.1577760000000001,0.0
8,5.051,1.6237,4.0,16.0,0.0,14.0,41.9,2.0,8.0,20.0,-2.695,5.032,0.964,11.786,14.0,1.032,1.124,0.0,0.0,1.265,4.0,0.0,1.0,0.0,2.399,0.0,0.0,50.918,9.592,0.0,12.0,18.0,2.0,4.016,2.595,6.0,10.274,0.0,4.0,0.8243259436788493,0.15130023640661872,0.083740234375,0.49204546662855236,0.0075834861329281255,0.037037037037037035,1.0,0.0877914951989026,0.0,0.47050754458161864,0.0008638375985314761,0.2962962962962963,0.09391435011269722,0.7155273988014721,0.6813215508519932,0.010255641133441662,0.1739052644241642,0.2531185652089045,0.0,0.0,0.0,0.3658489887479732,0.0,1.0,0.0,0.5725180020679609,0.517948942845411,0.0,0.17604441043200264,0.0,1.0,0.9999999999999999,0.023323615160349854,0.04384036803341994,0.07691067241953026,0.421875,0.0,0.003251536859218615,0.7800702052320019,0.5017317644661338,0.0005872222682228312,-0.6536436208636119,0.33938571186153066,0.38933229511387973,92.00646400000001,0.0
9,5.512,2.2581,0.0,0.0,1.0,4.0,40.4,4.0,4.0,0.0,0.0,4.013,1.555,10.927,4.0,0.998,1.124,0.0,0.0,1.227,2.0,0.0,0.0,0.0,2.426,0.0,0.0,0.0,4.054,0.0,2.0,0.0,2.0,3.787,2.301,0.0,8.93,0.0,0.0,0.6184541641701617,-0.13754566946056346,0.001953125,0.6491975475416304,0.02216768420323178,0.0,0.0,0.0,0.0004551661356395084,0.010973936899862825,0.006910700788251809,0.037037037037037035,0.0,0.827014126024894,0.3355835971134219,0.0430450180175859,0.09181574460162123,0.2531185652089045,0.0,0.0,0.0,0.3189773466059146,0.0,0.0,0.0,0.5935933709338548,0.517948942845411,0.0,0.01326758657253055,0.0,0.004629629629629629,0.0,0.023323615160349854,0.03520743776231133,0.04848393282902429,0.0,0.0,0.0,0.6182748915493681,0.4986988997249192,7.450580596923828e-09,-0.4161468365471424,0.0,0.0,16.434916,0.0
