,23,26,27,28,29,30,31,35,"2,35,16,3","2,23,12,3","2,27,12,3","2,28,12,3","2,29,12,3","2,30,12,3","2,31,12,3","2,32,12,3","2,33,12,3","2,2,35,16,3,12,3","2,2,22,12,3,12,3","2,2,35,19,34,3,12,3","2,22,13,3","2,2,2,34,6,3,12,3,12,3","2,2,2,35,16,3,12,3,12,3","2,2,2,35,19,34,3,12,3,12,3","2,2,23,12,3,12,3","2,2,25,12,3,12,3","2,2,27,12,3,12,3","2,2,28,12,3,12,3","2,2,29,12,3,12,3","2,2,30,12,3,12,3","2,2,31,12,3,12,3","2,2,33,12,3,12,3",36
0,2.29,9.0,1.0,2.29,1.0,1.0,7.0,2384.0,1.3549359104000002e-05,0.4576271186440678,0.1900726392251816,0.7033898305084746,1.0,1.0,0.8680387409200969,1.0,0.0,0.9176755447941889,0.24455205811138014,0.9443099273607727,0.9999999998783655,0.45520581113801456,0.9176755447941889,0.9443099273607748,0.4576271186440678,1.0,0.1900726392251816,0.7033898305084746,1.0,1.0,0.8680387409200969,0.0,1.0
1,2.335,5.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.4624697336561744,1.0,0.43825665859564167,0.0,0.0,0.0,0.0,0.0,0.0,0.19007263922518158,0.0,0.9999999997424995,0.576271186440678,0.0,0.0,0.4624697336561744,1.0,1.0,0.43825665859564167,0.0,0.0,0.0,0.0,0.0
2,0.875,0.0,4.0,0.085,0.0,1.0,4.0,1950.0,7.414875000000001e-06,0.2493946731234867,1.0,0.17070217917675545,0.0,1.0,0.7869249394673123,0.0,0.0,0.8983050847457628,0.32082324455205813,0.9588377723970944,0.9999999999651512,0.7409200968523003,0.8983050847457628,0.9588377723970944,0.2493946731234867,1.0,1.0,0.17070217917675545,0.0,1.0,0.7869249394673123,0.0,0.0
3,4.415,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.6101694915254238,0.1900726392251816,0.7639225181598064,1.0,0.0,0.0,0.0,0.0,0.0,0.06779661016949153,0.0,0.9999999933589783,0.7191283292978208,0.0,0.0,0.6101694915254237,0.0,0.1900726392251816,0.7639225181598064,1.0,0.0,0.0,0.0,1.0
4,0.335,9.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.08837772397094432,1.0,0.43825665859564167,0.0,0.0,0.0,0.0,0.9479418886198547,0.0,0.22760290556900728,0.0,0.9999999998572606,0.5145278450363197,0.0,0.0,0.08837772397094432,1.0,1.0,0.43825665859564167,0.0,0.0,0.0,0.9479418886198547,0.0
5,0.04,4.0,4.0,0.04,0.0,0.0,0.0,0.0,0.0,0.03026634382566586,1.0,0.1295399515738499,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.9999999050580414,0.0,0.0,0.0,0.03026634382566586,1.0,1.0,0.1295399515738499,0.0,0.0,0.0,0.0,1.0
6,0.0,4.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9842615012106538,1.0,0.0,0.0,0.0,0.0,0.0,0.8280871670702179,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9842615012106538,1.0,0.0,0.0,0.0,1.0
7,4.0,0.0,4.0,2.5,1.0,0.0,0.0,0.0,0.0,0.5871670702179177,1.0,0.7312348668280872,1.0,0.0,0.0,1.0,0.0,0.0,0.6186440677966102,0.0,0.9999999999999882,0.8716707021791767,0.0,0.0,0.5871670702179177,1.0,1.0,0.7312348668280872,1.0,0.0,0.0,0.0,1.0
8,8.17,2.0,4.0,1.96,1.0,1.0,14.0,158.0,3.944312000000001e-09,0.7506053268765134,1.0,0.668280871670702,1.0,1.0,0.976997578692494,0.0,0.0,0.6513317191283293,0.112590799031477,0.6997578692493948,0.9999999982610772,0.2433414043583535,0.6513317191283293,0.6997578692493948,0.7506053268765134,1.0,1.0,0.6682808716707017,1.0,1.0,0.976997578692494,0.0,1.0
9,3.0,4.0,4.0,2.375,1.0,1.0,8.0,4159.0,7.1939391679e-05,0.5242130750605327,1.0,0.7106537530266344,1.0,1.0,0.8934624697336562,1.0,0.0,0.9515738498789347,0.8861985472154964,0.9830508474576272,1.0,0.8970944309927361,0.9515738498789347,0.9830508474576272,0.5242130750605327,1.0,1.0,0.7106537530266344,1.0,1.0,0.8934624697336562,0.0,1.0
10,0.375,0.0,4.0,0.25,1.0,1.0,3.0,15108.0,0.0034484261397120003,0.09806295399515738,1.0,0.301452784503632,1.0,1.0,0.7566585956416465,0.0,0.0,0.9878934624697292,0.387409200968523,0.9878934624697335,0.9999999999915765,0.7578692493946732,0.9878934624697336,0.9878934624697336,0.09806295399515738,1.0,1.0,0.301452784503632,1.0,1.0,0.7566585956416465,0.0,1.0
11,12.5,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.9067796610169492,1.0,0.7639225181598064,1.0,0.0,0.0,1.0,0.9479418886198547,0.0,0.35714285714285715,0.0,0.999999999986112,0.21307506053268765,0.0,0.0,0.9067796610169492,1.0,1.0,0.7639225181598064,1.0,0.0,0.0,0.9479418886198547,1.0
12,2.835,6.0,2.0,0.0,0.0,1.0,5.0,146.0,3.1121360000000003e-09,0.5108958837772397,0.3305084745762712,0.0,0.0,1.0,0.8087167070217918,0.0,0.0,0.639225181598063,0.5944309927360775,0.7481840193704601,0.9999999999999731,0.5605326876513317,0.639225181598063,0.7481840193704601,0.5108958837772397,1.0,0.3305084745762712,0.0,0.0,1.0,0.8087167070217918,0.0,0.0
13,11.5,7.0,1.0,2.125,1.0,1.0,11.0,284.0,2.2906304e-08,0.87772397094431,0.1900726392251816,0.6900726392251816,1.0,1.0,0.9394673123486683,1.0,0.0,0.6985472154963681,0.26029055690072644,0.847457627118644,0.9999999999052709,0.8062953995157385,0.6985472154963681,0.847457627118644,0.87772397094431,1.0,0.1900726392251816,0.6900726392251816,1.0,1.0,0.9394673123486683,0.0,1.0
14,0.04,3.0,4.0,0.04,0.0,1.0,1.0,0.0,0.0,0.03026634382566586,1.0,0.1295399515738499,0.0,1.0,0.6186440677966102,0.0,0.9479418886198547,0.0,0.8184019370460048,0.0,1.0,0.976997578692494,0.0,0.0,0.03026634382566586,1.0,1.0,0.1295399515738499,0.0,1.0,0.6186440677966102,0.9479418886198547,1.0
