,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,"2,26,11,3","2,30,13,3",42
0,14.0,3.0,3.0,3.0,40.0,169.92,0.11,8.94,19.01,1518.63,0.06,84.37,10.0,0.0,1.0,0.0,11.0,8.0,27.0,13.0,5.0,-0.9350018934829759,1.0,1.0
1,25.0,3.0,1.0,3.0,65.0,305.53,0.11,9.17,33.33,2800.68,0.1,155.59,17.0,2.0,1.0,0.0,11.0,15.0,40.0,25.0,5.0,-0.8831281103804944,1.0,0.0
2,25.0,3.0,1.0,3.0,57.0,250.36,0.1,9.55,26.23,2389.82,0.08,132.77,20.0,0.0,1.0,0.0,10.0,11.0,36.0,21.0,5.0,-0.9042318388206088,1.0,0.0
3,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,-0.9969398254935488,0.9999938558253978,0.0
4,4.0,1.0,1.0,1.0,5.0,11.61,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,-0.9955589217475127,0.5,0.0
5,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,-0.9969398254935488,0.9999938558253978,0.0
6,4.0,1.0,1.0,1.0,8.0,22.46,0.33,3.0,7.49,67.38,0.01,3.74,2.0,0.0,0.0,0.0,6.0,1.0,7.0,1.0,1.0,-0.9914085600731382,1.0,0.0
7,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,-0.9969398254935488,0.9999938558253978,0.0
8,2.0,1.0,1.0,1.0,16.0,59.21,0.29,3.5,16.92,207.22,0.02,11.51,0.0,0.0,0.0,0.0,7.0,6.0,10.0,6.0,1.0,-0.9773508834341278,1.0,0.0
9,48.0,4.0,1.0,4.0,121.0,568.75,0.07,13.93,40.82,7924.63,0.19,440.26,39.0,0.0,6.0,0.0,11.0,15.0,83.0,38.0,7.0,-0.7824407186819828,1.0,0.0
10,4.0,1.0,1.0,1.0,3.0,4.75,1.0,1.0,4.75,4.75,0.0,0.26,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,-0.9981830213867946,0.991422514586288,0.0
11,51.0,13.0,8.0,13.0,138.0,713.45,0.05,20.13,35.44,14362.87,0.24,797.94,44.0,3.0,2.0,0.0,17.0,19.0,93.0,45.0,25.0,-0.7270898122965461,1.0,0.0
