,23,29,30,31,"2,25,18,21,3","2,23,18,2,25,18,21,3,3","2,32,18,2,25,18,21,3,3","2,21,18,25,3","2,21,18,2,25,18,22,3,3","2,21,18,2,25,18,23,3,3","2,21,18,2,25,18,26,3,3","2,23,10,3","2,29,10,3","2,30,10,3","2,31,10,3","2,2,23,18,2,25,18,21,3,3,10,3","2,2,26,18,2,25,18,21,3,3,10,3","2,2,32,18,2,25,18,21,3,3,10,3","2,2,21,18,25,3,10,3","2,2,21,18,2,25,18,23,3,3,10,3","2,2,21,18,2,25,18,26,3,3,10,3","2,2,2,2,21,18,2,25,18,23,3,3,10,3,16,3,16,3","2,2,25,18,21,3,18,23,3","2,2,25,18,21,3,18,29,3","2,2,25,18,21,3,18,2,23,10,3,3","2,2,25,18,21,3,18,2,2,2,2,21,18,2,25,18,23,3,3,10,3,16,3,16,3,3","2,30,5,3","2,31,5,3",34
0,1.0,1.0,0.0,0.0,204.0,-203.0,-204.0,-204.0,-203.0,-203.0,-203.0,0.21304945651652293,-0.6482074595859141,-0.62696903438022,-0.7380847415901124,-0.031220025813918684,-0.03459001106019352,-0.033930625994370994,-0.033930625994370994,-0.031220025813918684,-0.03459001106019352,0.9982631173942336,203.0,203.0,203.78695054348347,203.00173688260577,0.0,0.0,1.0
1,2.0,1.0,0.0,0.0,175.0,-173.0,-175.0,-175.0,-174.0,-173.0,-174.0,1.3848214673573993,-0.6482074595859141,-0.62696903438022,-0.7380847415901124,0.4048692236503407,0.38777222925374843,0.3884642888233573,0.3884642888233573,0.4048692236503407,0.38777222925374843,0.9982631175282378,173.0,174.0,173.6151785326426,174.00173688247176,0.0,0.0,1.0
2,2.0,1.0,0.0,0.0,184.0,-182.0,-184.0,-184.0,-183.0,-182.0,-183.0,1.3848214673573993,-0.6482074595859141,-0.62696903438022,-0.7380847415901124,0.27404244881106293,0.25669429260459403,0.2573762118109589,0.2573762118109589,0.27404244881106293,0.25669429260459403,0.9982631173982297,182.0,183.0,182.6151785326426,183.00173688260176,0.0,0.0,1.0
3,1.0,1.0,0.0,0.0,189.0,-188.0,-189.0,-189.0,-189.0,-188.0,-188.0,0.21304945651652293,-0.6482074595859141,-0.62696903438022,-0.7380847415901124,0.18682459891821102,0.18387321668839715,0.18454950235962642,0.18454950235962642,0.18682459891821102,0.18387321668839715,0.9982631173943607,188.0,188.0,188.78695054348347,188.00173688260563,0.0,0.0,1.0
4,1.0,1.0,0.0,0.0,156.0,-155.0,-156.0,-156.0,-155.0,-155.0,-155.0,0.21304945651652293,-0.6482074595859141,-0.62696903438022,-0.7380847415901124,0.6665227733288964,0.6644923177352966,0.6652057847384207,0.6652057847384207,0.6665227733288964,0.6644923177352966,0.9982631292962556,155.0,155.0,155.78695054348347,155.00173687070375,0.0,0.0,1.0
5,0.0,2.0,3.0,2.0,295.0,-295.0,-295.0,-295.0,-294.0,-295.0,-294.0,-0.9587225543243536,1.4644687049903982,2.525789538503172,1.1722522366431198,-1.3685603908376476,-1.359933592734977,-1.359376738008622,-1.359376738008622,-1.3685603908376476,-1.359933592734977,0.998255396608302,295.0,293.0,295.95872255432437,294.00174460339167,1.7320508075688772,1.4142135623730951,0.0
6,0.0,2.0,2.0,1.0,227.0,-227.0,-227.0,-227.0,-226.0,-227.0,-225.0,-0.9587225543243536,1.4644687049903982,1.474870014208708,0.2170837475265037,-0.3800914253853262,-0.35500274509145985,-0.36893348947050036,-0.36893348947050036,-0.3800914253853262,-0.35500274509145985,0.9982631173183272,227.0,225.0,227.95872255432437,226.00173688268168,1.4142135623730951,1.0,0.0
7,0.0,2.0,1.5,2.0,186.0,-186.0,-186.0,-186.0,-185.0,-186.0,-185.0,-0.9587225543243536,1.4644687049903982,0.949410252061476,1.1722522366431198,0.21589721554916166,0.22756586223811529,0.2282455280304259,0.2282455280304259,0.21589721554916166,0.22756586223811529,0.9982631173947007,186.0,184.0,186.95872255432437,185.0017368826053,1.224744871391589,1.4142135623730951,0.0
8,0.0,2.0,1.0,2.0,174.0,-174.0,-174.0,-174.0,-173.0,-174.0,-173.0,-0.9587225543243536,1.4644687049903982,0.423950489914244,1.1722522366431198,0.3903329153348654,0.4023364444369878,0.4030296307136238,0.4030296307136238,0.3903329153348654,0.4023364444369878,0.9982631174906614,174.0,172.0,174.95872255432437,173.00173688250933,1.0,1.4142135623730951,0.0
9,1.0,1.0,0.0,0.0,203.0,-202.0,-203.0,-203.0,-202.0,-202.0,-201.0,0.21304945651652293,-0.6482074595859141,-0.62696903438022,-0.7380847415901124,-0.01668371749844337,-0.005461580693714767,-0.019365284104104503,-0.019365284104104503,-0.01668371749844337,-0.005461580693714767,0.9982631173942336,202.0,202.0,202.78695054348347,202.00173688260577,0.0,0.0,1.0
