lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap,target
21.0,27.0,199.0,11.0,31.0,0.2,0.2,9439.0,24923.0,1.0,7911.0,1880848.0,97.0
5.0,1.0,1589.0,153.0,102.0,0.4,0.6,134065.0,20191.0,2.0,1801.0,998664.0,91.0
1.0,0.0,2008.0,157.0,91.0,0.2,0.2,176272.0,59457.0,3.2,385.0,1702584.0,92.0
2.0,1.0,174.0,11.0,24.0,0.2,0.2,10271.0,8797.0,1.0,6442.0,1871299.0,99.0
11.0,1.0,4532.0,628.0,554.0,5.59,1.8,588953.0,320435.0,5.0,314.0,1010052.0,72.0
11.0,3.0,2311.0,197.0,96.0,1.4,1.4,142319.0,28945.0,2.5,142.0,1112250.0,87.0
4.0,1.0,706.0,73.0,53.0,0.8,0.2,129808.0,24619.0,2.2,238.0,1020434.0,94.0
1.0,0.0,2481.0,262.0,205.0,0.2,0.2,9731.0,44698.0,2.5,634.0,977747.0,91.0
2.0,1.0,986.0,73.0,54.0,0.2,0.2,5562.0,23881.0,2.3,217.0,1013784.0,96.0
3.0,0.0,2229.0,213.0,112.0,1.6,3.0,577518.0,102843.0,4.8,244.0,1526406.0,88.0
4.0,1.0,4682.0,556.0,502.0,2.0,0.8,374054.0,397653.0,2.2,474.0,1096338.0,80.0
122.0,53.0,3858.0,253.0,267.0,0.2,0.2,92027.0,172470.0,3.0,399.0,1066162.0,90.0
17.0,6.0,3577.0,316.0,238.0,3.0,1.2,217323.0,49595.0,3.6,879.0,974328.0,84.0
2.0,1.0,2587.0,198.0,100.0,0.2,0.2,956702.0,135821.0,6.0,642.0,1306768.0,94.0
1.0,0.0,2498.0,135.0,77.0,0.4,0.4,45680.0,30423.0,1.2,1903.0,1752755.0,94.0
27.0,18.0,6449.0,492.0,299.0,6.59,4.99,445690.0,72219.0,2.5,344.0,996402.0,67.0
57.0,76.0,2674.0,346.0,273.0,5.39,4.19,390009.0,21069.0,2.8,3119.0,1759583.0,71.0
10.0,3.0,417.0,23.0,40.0,0.4,0.4,26568.0,27852.0,1.0,6217.0,1856637.0,98.0
7.0,2.0,2536.0,229.0,184.0,4.2,1.2,125918.0,20744.0,1.4,8331.0,1864683.0,87.0
60.0,87.0,3116.0,167.0,147.0,0.4,3.19,47466.0,66573.0,1.0,168.0,983853.0,91.0
1.0,0.0,1272.0,138.0,77.0,0.8,0.8,135403.0,29470.0,2.6,425.0,1057451.0,91.0
