,21,22,23,24,26,27,28,29,31,32,33,"2,24,16,3","2,27,16,3","2,31,16,3","2,32,16,3","2,30,15,3","2,30,7,3","2,37,15,3","2,27,8,3","2,31,8,3","2,32,14,3","2,21,6,3","2,22,6,3","2,23,6,3","2,26,6,3","2,28,6,3","2,29,6,3","2,2,24,16,3,6,3","2,2,27,16,3,6,3","2,2,30,16,3,6,3","2,2,31,16,3,6,3","2,2,33,16,3,6,3","2,2,37,6,3,6,3","2,2,38,6,3,6,3","2,2,32,16,3,6,3","2,2,27,8,3,6,3","2,2,31,8,3,6,3","2,2,32,14,3,6,3",39
0,95.0,48.0,104.0,214.0,9.0,205.0,32.0,23.0,227.0,628.0,202.0,0.26816904339971337,0.419083056214242,0.43797607583503323,0.23022077037342367,0.006622516556291391,0.20214988141565363,0.005376344086021506,-0.6992292566729736,0.6928740863898232,6.4425401664681985,0.4184782608695653,0.5079431438127091,0.8777142857142858,0.026716141001855286,0.1142857142857143,0.4347826086956522,0.07191463583791732,0.17563060800586955,0.14109259010017108,0.19182304300385478,0.1497369808068812,0.11575343433772416,0.14564348188254922,0.053001603111332674,0.48908826254494275,0.47985119528885023,0.6890674382359925,1.0
1,90.0,40.0,83.0,178.0,8.0,178.0,37.0,21.0,199.0,472.0,157.0,0.1390728669977616,0.24614348046931606,0.26202722509265647,0.09432629484010963,0.007575757575757576,0.05308358714605824,0.0053475935828877,-0.4794387656291727,-0.47162571251991114,6.156978985585555,0.3137454710144928,0.21362876254180602,0.5037142857142857,0.02040816326530612,0.22758620689655176,0.2753623188405797,0.019341262334977086,0.060586612977548575,0.018795089877932332,0.06865826668975766,0.020568171246061213,0.14083654566397188,0.14564348188254922,0.008897449898263292,0.22867858286833626,0.22147521596803935,0.5158259517722399,1.0
2,82.0,45.0,66.0,252.0,52.0,148.0,45.0,19.0,237.0,326.0,185.0,0.4606272815316994,0.10676526299765697,0.5124299751526817,0.027095606487584314,0.006944444444444444,-0.49102159389846933,0.0055248618784530384,-0.9410263090291437,-0.18909982012986337,5.786897381366708,0.1579483695652174,0.391304347826087,0.2624761904761905,0.9999999999999999,0.44302134646962243,0.13043478260869568,0.21217749249128337,0.01139882138295886,0.07854513019315866,0.26258447943497804,0.07869756979175774,0.028144477146814364,0.015497709287796847,0.0007341718909300212,0.8877634850240685,0.03427257315380076,0.30299168162466406,0.0
3,87.0,38.0,71.0,123.0,8.0,137.0,49.0,18.0,158.0,277.0,145.0,0.02182041721112317,0.06779689290662892,0.08055517546735787,0.014326057643068777,0.007874015748031496,0.972630067242408,0.0055248618784530384,0.33416538263076073,0.6055278749869898,5.6240175061873385,0.2536231884057971,0.14841137123745823,0.32771428571428574,0.02040816326530612,0.5665024630541873,0.06340579710144933,0.00047613060726748,0.004596418687792911,0.007155842624993862,0.006489136294576815,0.009539951817759667,0.028144477146814364,0.02434767486926745,0.00020523592759252933,0.10986778092840385,0.36611836005694426,0.21349917859996737,2.0
4,87.0,44.0,65.0,124.0,6.0,149.0,46.0,19.0,170.0,321.0,171.0,0.023240180010172945,0.11061055013058353,0.12521396096938842,0.025598760239453754,0.006944444444444444,-0.49102159389846933,0.00558659217877095,-0.22374095013558368,0.9379947521194415,5.771441123130016,0.2536231884057971,0.3540969899665552,0.25,0.010018552875695731,0.4729064039408868,0.13043478260869568,0.0005401059669052419,0.012234693800190332,0.07854513019315866,0.015678536021643527,0.04258985681973326,0.010018805825654372,0.0009527931070387447,0.0006552965257970384,0.047940331978286566,0.8807470748302891,0.2943896995013253,0.0
5,85.0,33.0,40.0,115.0,3.0,112.0,61.0,17.0,130.0,184.0,127.0,0.011271036928881512,0.0,0.0,0.0,0.008403361344537815,-0.3714041014380902,0.0055248618784530384,0.4559691044442761,-0.3672913304546965,5.214935757608986,0.21467391304347827,0.0,0.0,0.0,1.0,0.0,0.0001270362734522107,0.0,7.728929550053962e-05,0.0,0.0017606996828803073,0.028144477146814364,0.0038321995464852886,0.0,0.20661050221680866,0.13369854694940164,0.0,2.0
6,81.0,46.0,71.0,130.0,7.0,153.0,44.0,19.0,172.0,342.0,191.0,0.032250059209790016,0.12651481162382572,0.1333025246748955,0.03220237219772712,0.006711409395973154,-0.9746486480944947,0.005555555555555556,-0.5913696841443247,-0.7055510066862999,5.834810737062605,0.13949275362318836,0.4293478260869565,0.32771428571428574,0.01484230055658627,0.4137931034482759,0.13043478260869568,0.0010400663190349615,0.016005997560212107,0.12072117638408579,0.017769563084701127,0.09983629702761776,0.017911696534569567,0.02434767486926745,0.0010369927751609485,0.3491595874642661,0.49762930567774116,0.329803441025861,0.0
7,95.0,43.0,76.0,142.0,10.0,151.0,44.0,19.0,173.0,339.0,159.0,0.05292385591528376,0.11845736080094872,0.13741803464609442,0.031207406129948087,0.006711409395973154,-0.9746486480944947,0.0053475935828877,0.9793545963764285,-0.9775269404025313,5.82600010738045,0.4184782608695653,0.31772575250836116,0.3977142857142857,0.03376623376623377,0.4137931034482759,0.13043478260869568,0.0028009345249417144,0.014032146327926143,0.12072117638408579,0.01888371624599521,0.023030773972302063,0.14083654566397188,0.3789156210953772,0.0009739021973595214,0.9617518645738158,0.9566870691233963,0.32485652589609515,3.0
8,85.0,45.0,80.0,154.0,9.0,147.0,45.0,19.0,169.0,324.0,174.0,0.07740445503985696,0.1029715896769353,0.12124035400697585,0.026491312794731818,0.006756756756756757,-0.3383333943242765,0.005319148936170213,-0.7931364191664784,0.7984961861625556,5.780743515792329,0.21467391304347827,0.391304347826087,0.4571428571428572,0.026716141001855286,0.44302134646962243,0.13043478260869568,0.0059914496600172356,0.010603148280595128,0.11131785548123115,0.014699223439736824,0.048969213174159566,0.16853185595567863,0.3382965431070388,0.0007017896535883218,0.6299622127740736,0.637820573807734,0.2995640703360871,3.0
9,90.0,39.0,86.0,169.0,7.0,162.0,41.0,20.0,194.0,388.0,147.0,0.1138486121482758,0.1654548173676061,0.23532405705035736,0.049756044044915994,0.007633587786259542,-0.8116033871367004,0.005405405405405406,0.20648222933781113,0.711795928940826,5.961005339623274,0.3137454710144928,0.18060200668896315,0.552,0.01484230055658627,0.3300492610837439,0.20108695652173914,0.012961506488088526,0.027375296590147886,0.015943869601954912,0.05537741182663985,0.010982286378601276,0.09324298469387757,0.10006247396917951,0.0024756639189996202,0.04047654679416933,0.5065056846429816,0.4014784133130911,1.0
