fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,target
13,9,0,1,79.5,0
5,3,1,1,12.8,0
8,7,0,1,52.8,0
1,5,1,0,0.0,1
6,15,0,0,0.8,1
12,2,0,1,7.6,1
6,12,0,0,0.0,1
6,12,1,0,0.0,1
9,0,0,1,147.2,0
12,3,1,0,0.0,1
7,2,0,0,3.8,1
5,6,0,1,89.1,0
5,6,0,0,31.8,0
2,7,1,0,0.6,1
9,11,0,1,127.9,0
15,4,1,1,0.0,1
10,15,1,1,8.4,1
4,9,0,1,81.5,0
13,14,0,0,0.5,1
7,0,1,1,5.4,1
3,7,0,0,4.0,1
16,6,0,0,3.7,1
3,14,1,0,0.7,1
7,10,0,0,14.6,0
4,0,0,1,27.3,0
7,5,0,0,0.7,1
16,7,1,1,36.2,0
13,14,1,0,0.0,1
3,14,1,1,1.7,1
3,1,0,1,45.6,0
5,16,0,0,20.9,0
9,10,1,0,3.3,1
2,9,1,0,1.0,1
14,10,0,1,26.7,0
3,14,0,0,1.0,1
9,13,0,0,0.0,1
6,3,0,1,19.2,0
10,9,0,0,13.2,1
16,2,1,1,13.7,0
1,4,1,0,0.0,1
2,9,0,0,7.5,1
12,15,0,0,0.6,1
4,1,0,1,14.6,0
8,14,0,1,82.0,0
1,9,1,1,13.0,1
12,3,0,1,6.6,1
9,16,0,0,15.4,1
3,2,1,0,0.5,1
6,0,1,0,1.8,1
14,14,0,1,40.5,0
14,4,1,1,0.0,1
2,5,0,0,0.0,1
5,4,0,1,746.3,0
7,1,0,0,2.6,1
9,6,1,0,6.2,1
3,0,0,1,152.6,0
16,0,1,1,40.7,0
11,4,0,0,0.7,1
9,8,1,1,8.0,0
4,0,1,0,2.9,1
4,3,0,0,2.8,1
15,9,0,0,0.8,1
2,5,0,1,7.3,1
14,11,0,0,1.3,1
13,0,0,0,1.1,1
8,13,1,0,0.0,1
15,13,1,0,0.0,1
10,1,0,0,2.2,1
6,16,1,1,2.5,1
12,15,1,1,1.5,1
16,8,0,0,1.6,1
6,3,1,0,0.0,1
1,12,0,1,5.8,1
2,6,0,1,72.8,0
14,6,1,1,0.0,1
14,2,1,1,0.8,1
5,1,0,0,8.8,1
3,4,0,1,26.9,1
14,3,0,1,23.1,0
11,5,1,0,0.0,1
11,7,1,1,4.6,1
15,14,0,1,17.3,0
2,0,0,0,6.5,1
6,2,1,1,0.4,1
13,4,1,1,2.6,1
4,5,0,0,3.3,1
8,10,0,0,0.5,1
10,11,0,1,117.0,0
13,0,0,1,97.1,0
14,4,1,0,0.0,1
1,13,1,0,0.0,1
7,0,0,0,11.4,1
8,3,1,1,4.4,1
6,9,0,0,14.0,0
7,6,1,0,1.9,1
9,14,1,0,0.0,1
7,10,1,1,6.9,1
10,7,0,0,10.5,1
10,11,1,0,2.4,1
0,3,1,0,0.0,1
11,11,0,0,8.6,1
16,10,0,0,10.8,1
10,16,1,0,4.9,1
15,10,1,0,0.0,1
1,3,1,1,5.8,1
15,14,1,0,0.0,1
10,13,1,0,0.0,1
13,10,1,1,7.6,1
5,6,1,1,17.0,1
7,8,0,0,0.0,1
16,4,0,1,8.6,1
9,12,1,1,1.6,1
10,3,1,0,0.7,1
15,7,1,0,0.0,1
6,2,0,0,1.0,1
1,1,0,0,6.7,1
7,10,1,0,4.9,1
15,14,1,1,2.5,1
9,6,0,1,88.7,0
4,15,1,0,0.0,1
11,8,0,0,2.0,1
16,10,1,1,37.5,0
13,14,0,1,46.0,0
0,15,0,0,0.4,1
14,6,1,0,0.0,1
13,2,0,1,29.0,0
2,15,1,1,3.7,1
10,12,0,1,3.8,1
13,15,0,0,0.0,1
5,3,1,0,2.7,1
14,14,1,0,0.0,1
9,1,0,0,0.8,1
3,9,0,0,9.3,1
0,12,0,1,1.9,1
16,8,1,0,1.7,1
7,4,0,1,30.6,1
7,0,1,0,3.1,1
3,13,1,1,0.8,1
3,1,1,0,1.2,1
1,10,0,0,8.3,1
7,14,1,1,0.0,1
9,11,1,0,2.3,1
5,5,1,1,29.0,0
8,1,1,1,1.6,1
6,3,1,1,1.5,1
10,7,0,1,117.2,0
16,11,1,0,6.3,1
12,5,1,1,0.7,1
8,12,1,1,1.3,1
11,8,1,0,0.6,1
11,3,1,0,0.0,1
9,10,0,1,124.0,0
13,8,1,0,0.0,1
2,11,1,0,0.0,1
9,15,0,0,3.3,1
5,2,0,1,69.7,0
14,16,1,1,1.7,1
14,9,1,0,0.0,1
14,13,1,0,0.0,1
7,3,1,1,0.8,1
10,0,0,0,11.3,1
2,0,0,1,157.7,0
1,13,0,0,0.0,1
9,7,0,1,81.9,0
16,16,0,0,13.7,1
2,16,0,1,50.7,0
5,2,1,0,2.2,1
9,7,0,0,12.3,1
7,16,1,1,0.7,1
8,2,0,1,35.4,0
9,7,1,1,22.3,1
3,13,1,0,0.0,1
