,21,22,23,24,25,"2,21,16,3","2,22,16,3","2,23,16,3","2,24,16,3","2,21,19,25,3","2,22,19,25,3",26
0,1.0,8.0,1.0,0.0,0.4,0.000244140625,0.125,1.0,0.0,0.00010739408258604951,0.0008591526606883961,1.0
1,6.0,3.0,0.0,0.0,1.4,0.052734375,0.006591796875,0.0,0.0,0.002255275734307039,0.0011276378671535195,1.0
2,10.0,11.0,0.0,0.0,8.7,0.244140625,0.324951171875,0.0,0.0,0.023358212962465767,0.02569403425871234,1.0
3,2.0,1.0,1.0,1.0,2.5,0.001953125,0.000244140625,1.0,1.0,0.0013424260323256188,0.0006712130161628094,1.0
4,15.0,8.0,0.0,1.0,16.4,0.823974609375,0.125,0.0,1.0,0.06604736079042044,0.035225259088224235,0.0
5,13.0,3.0,0.0,0.0,0.6,0.536376953125,0.006591796875,0.0,0.0,0.0020941846104279654,0.0004832733716372227,1.0
6,14.0,13.0,0.0,0.0,0.0,0.669921875,0.536376953125,0.0,0.0,0.0,0.0,1.0
7,1.0,9.0,0.0,1.0,131.8,0.000244140625,0.177978515625,0.0,1.0,0.03538635021210331,0.31847715190892983,0.0
8,16.0,1.0,0.0,0.0,2.7,1.0,0.000244140625,0.0,0.0,0.011598560919293347,0.0007249100574558342,1.0
9,9.0,10.0,1.0,1.0,30.4,0.177978515625,0.244140625,1.0,1.0,0.07345755248885785,0.08161950276539762,0.0
10,12.0,7.0,1.0,1.0,0.9,0.421875,0.083740234375,1.0,1.0,0.0028996402298233368,0.0016914568007302796,1.0
11,11.0,8.0,0.0,0.0,2.0,0.324951171875,0.125,0.0,0.0,0.005906674542232723,0.00429576330344198,1.0
12,2.0,11.0,0.0,1.0,193.8,0.001953125,0.324951171875,0.0,1.0,0.10406486602588197,0.5723567631423508,0.0
13,5.0,15.0,0.0,0.0,2.6,0.030517578125,0.823974609375,0.0,0.0,0.0034903076840466086,0.010470923052139827,1.0
14,0.0,5.0,1.0,1.0,0.8,0.0,0.030517578125,1.0,1.0,0.0,0.001073940825860495,1.0
15,15.0,14.0,1.0,1.0,2.5,0.823974609375,0.669921875,1.0,1.0,0.010068195242442141,0.009396982226279332,1.0
16,12.0,6.0,1.0,0.0,0.0,0.421875,0.052734375,1.0,0.0,0.0,0.0,1.0
17,13.0,11.0,1.0,1.0,13.3,0.536376953125,0.324951171875,1.0,1.0,0.046421092197819896,0.03927938570584761,1.0
18,12.0,6.0,0.0,1.0,2.4,0.421875,0.052734375,0.0,1.0,0.007732373946195564,0.003866186973097782,1.0
19,12.0,5.0,1.0,0.0,0.0,0.421875,0.030517578125,1.0,0.0,0.0,0.0,1.0
20,6.0,14.0,1.0,1.0,1.0,0.052734375,0.669921875,1.0,1.0,0.0016109112387907424,0.0037587928905117324,1.0
21,6.0,11.0,0.0,0.0,6.3,0.052734375,0.324951171875,0.0,0.0,0.010148740804381677,0.018606024808033077,1.0
22,2.0,14.0,1.0,1.0,0.8,0.001953125,0.669921875,1.0,1.0,0.00042957633034419805,0.003007034312409386,1.0
23,14.0,11.0,0.0,0.0,1.3,0.669921875,0.324951171875,0.0,0.0,0.004886430757665252,0.00383933845245127,1.0
24,0.0,7.0,1.0,1.0,11.0,0.0,0.083740234375,1.0,1.0,0.0,0.02067336089781453,1.0
25,6.0,9.0,1.0,0.0,3.4,0.052734375,0.177978515625,1.0,0.0,0.005477098211888524,0.008215647317832786,1.0
26,13.0,3.0,1.0,0.0,1.2,0.536376953125,0.006591796875,1.0,0.0,0.004188369220855931,0.0009665467432744454,1.0
27,4.0,11.0,0.0,1.0,23.6,0.015625,0.324951171875,0.0,1.0,0.025345003490307685,0.06969875959834614,0.0
28,15.0,9.0,1.0,1.0,8.4,0.823974609375,0.177978515625,1.0,1.0,0.03382913601460559,0.02029748160876336,1.0
29,11.0,6.0,1.0,1.0,2.4,0.324951171875,0.052734375,1.0,1.0,0.007088009450679267,0.003866186973097782,1.0
30,6.0,14.0,1.0,0.0,0.5,0.052734375,0.669921875,1.0,0.0,0.0008054556193953712,0.0018793964452558662,1.0
31,10.0,6.0,1.0,1.0,8.2,0.244140625,0.052734375,1.0,1.0,0.022015786930140148,0.013209472158084087,1.0
32,5.0,11.0,1.0,0.0,3.7,0.030517578125,0.324951171875,1.0,0.0,0.004966976319604789,0.010927347903130538,1.0
33,12.0,13.0,1.0,0.0,0.0,0.421875,0.536376953125,1.0,0.0,0.0,0.0,1.0
34,7.0,11.0,0.0,1.0,41.8,0.083740234375,0.324951171875,0.0,1.0,0.0785587714116952,0.1234494979326639,0.0
35,7.0,10.0,0.0,0.0,14.6,0.083740234375,0.244140625,0.0,0.0,0.02743918810073565,0.039198840143908065,0.0
36,14.0,3.0,0.0,0.0,0.0,0.669921875,0.006591796875,0.0,0.0,0.0,0.0,1.0
37,0.0,14.0,1.0,1.0,4.2,0.0,0.669921875,1.0,1.0,0.0,0.01578693014014928,1.0
38,14.0,13.0,1.0,1.0,0.0,0.669921875,0.536376953125,1.0,1.0,0.0,0.0,1.0
39,3.0,3.0,1.0,0.0,0.8,0.006591796875,0.006591796875,1.0,0.0,0.0006443644955162971,0.0006443644955162971,1.0
40,2.0,7.0,1.0,1.0,3.1,0.001953125,0.083740234375,1.0,1.0,0.0016646082800837673,0.005826128980293185,1.0
41,8.0,1.0,0.0,0.0,0.0,0.125,0.000244140625,0.0,0.0,0.0,0.0,1.0
42,5.0,3.0,0.0,0.0,8.7,0.030517578125,0.006591796875,0.0,0.0,0.011679106481232883,0.00700746388873973,1.0
43,6.0,9.0,0.0,0.0,14.0,0.052734375,0.177978515625,0.0,0.0,0.022552757343070395,0.03382913601460559,0.0
44,14.0,0.0,0.0,1.0,67.9,0.669921875,0.0,0.0,1.0,0.25522203726574666,0.0,0.0
45,16.0,15.0,1.0,1.0,15.6,1.0,0.823974609375,1.0,1.0,0.06701390753369489,0.06282553831283896,1.0
46,0.0,14.0,0.0,1.0,22.2,0.0,0.669921875,0.0,1.0,0.0,0.08344520216936047,0.0
47,1.0,3.0,0.0,0.0,0.0,0.000244140625,0.006591796875,0.0,0.0,0.0,0.0,1.0
48,16.0,6.0,1.0,1.0,13.0,1.0,0.052734375,1.0,1.0,0.05584492294474574,0.020941846104279654,1.0
49,6.0,9.0,1.0,1.0,8.8,0.052734375,0.177978515625,1.0,1.0,0.014176018901358535,0.021264028352037802,1.0
50,12.0,12.0,1.0,0.0,0.0,0.421875,0.421875,1.0,0.0,0.0,0.0,1.0
51,11.0,4.0,1.0,1.0,4.2,0.324951171875,0.015625,1.0,1.0,0.012404016538688719,0.00451055146861408,1.0
52,14.0,7.0,0.0,1.0,18.9,0.669921875,0.083740234375,0.0,1.0,0.07104118563067173,0.035520592815335865,1.0
53,0.0,12.0,1.0,1.0,1.4,0.0,0.421875,1.0,1.0,0.0,0.004510551468614078,1.0
54,16.0,9.0,0.0,0.0,11.3,1.0,0.177978515625,0.0,0.0,0.048542125328894375,0.027304945497503088,1.0
55,5.0,6.0,0.0,0.0,31.8,0.030517578125,0.052734375,0.0,0.0,0.042689147827954674,0.05122697739354561,0.0
56,8.0,1.0,1.0,0.0,0.6,0.125,0.000244140625,1.0,0.0,0.001288728991032594,0.00016109112387907424,1.0
57,1.0,0.0,1.0,1.0,10.4,0.000244140625,0.0,1.0,1.0,0.002792246147237287,0.0,1.0
58,1.0,6.0,0.0,1.0,33.8,0.000244140625,0.052734375,0.0,1.0,0.009074799978521182,0.05444879987112709,1.0
59,4.0,1.0,0.0,0.0,3.0,0.015625,0.000244140625,0.0,0.0,0.003221822477581485,0.0008054556193953712,1.0
60,7.0,16.0,1.0,0.0,7.0,0.083740234375,1.0,1.0,0.0,0.013155775116791064,0.03007034312409386,1.0
