,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,"2,37,18,37,3","2,37,18,38,3","2,38,18,37,3","2,38,18,38,3","2,37,14,3","2,38,14,3",39
0,86.0,43.0,70.0,126.0,56.0,6.0,148.0,46.0,19.0,145.0,166.0,317.0,171.0,86.0,6.0,9.0,179.0,182.0,0.0,-3.0,3.0,0.0,5.187385805840755,5.204006687076795,0.0
1,97.0,48.0,94.0,198.0,63.0,9.0,181.0,36.0,21.0,155.0,200.0,494.0,189.0,64.0,20.0,11.0,199.0,203.0,0.0,-4.0,4.0,0.0,5.293304824724492,5.313205979041787,1.0
2,93.0,40.0,73.0,139.0,58.0,6.0,136.0,49.0,18.0,138.0,166.0,275.0,137.0,73.0,0.0,0.0,187.0,188.0,0.0,-1.0,1.0,0.0,5.231108616854587,5.236441962829949,3.0
3,90.0,40.0,83.0,178.0,61.0,8.0,178.0,37.0,21.0,132.0,199.0,472.0,157.0,71.0,1.0,14.0,187.0,193.0,0.0,-6.0,6.0,0.0,5.231108616854587,5.262690188904886,1.0
4,96.0,46.0,88.0,174.0,68.0,10.0,155.0,43.0,19.0,148.0,173.0,354.0,182.0,69.0,14.0,15.0,194.0,202.0,0.0,-8.0,8.0,0.0,5.267858159063328,5.308267697401204,3.0
5,86.0,45.0,71.0,155.0,66.0,7.0,146.0,45.0,19.0,144.0,167.0,322.0,176.0,72.0,5.0,6.0,189.0,196.0,0.0,-7.0,7.0,0.0,5.241747015059643,5.278114659230517,0.0
6,89.0,44.0,70.0,158.0,64.0,6.0,141.0,47.0,18.0,143.0,164.0,299.0,173.0,66.0,9.0,11.0,193.0,199.0,0.0,-6.0,6.0,0.0,5.262690188904886,5.293304824724492,0.0
7,95.0,46.0,104.0,208.0,66.0,9.0,191.0,35.0,22.0,148.0,210.0,543.0,169.0,68.0,0.0,28.0,190.0,200.0,0.0,-10.0,10.0,0.0,5.247024072160486,5.298317366548036,2.0
8,104.0,50.0,106.0,209.0,66.0,10.0,207.0,32.0,23.0,158.0,223.0,635.0,220.0,73.0,14.0,9.0,188.0,196.0,0.0,-8.0,8.0,0.0,5.236441962829949,5.278114659230517,2.0
9,86.0,45.0,66.0,126.0,57.0,8.0,148.0,46.0,19.0,145.0,170.0,321.0,186.0,86.0,0.0,7.0,179.0,182.0,0.0,-3.0,3.0,0.0,5.187385805840755,5.204006687076795,0.0
10,85.0,43.0,66.0,123.0,55.0,7.0,150.0,45.0,19.0,146.0,172.0,326.0,173.0,83.0,4.0,15.0,180.0,183.0,0.0,-3.0,3.0,0.0,5.19295685089021,5.2094861528414205,0.0
11,99.0,46.0,105.0,209.0,64.0,11.0,197.0,34.0,23.0,152.0,212.0,575.0,159.0,65.0,0.0,33.0,194.0,205.0,0.0,-11.0,11.0,0.0,5.267858159063328,5.323009979138408,1.0
