checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
2,30.0,2,0,1908.0,2,3,4.0,3,2,4.0,3,66.0,1,1,1.0,0,1.0,1,1,0
3,12.0,1,3,1258.0,2,2,2.0,0,2,4.0,1,22.0,1,2,2.0,3,1.0,0,1,1
3,12.0,3,6,776.0,2,0,4.0,2,2,2.0,3,28.0,1,1,1.0,1,1.0,0,1,1
0,18.0,2,0,2427.0,4,3,4.0,3,2,2.0,1,42.0,1,1,2.0,1,1.0,0,1,1
3,48.0,1,2,6110.0,2,0,1.0,3,2,3.0,2,31.0,0,0,1.0,1,1.0,1,1,1
3,12.0,1,3,5801.0,4,3,2.0,3,2,4.0,1,49.0,1,2,1.0,1,1.0,1,1,1
1,24.0,3,9,2812.0,4,3,2.0,0,2,4.0,3,26.0,1,2,1.0,1,1.0,0,1,1
0,24.0,1,0,2825.0,4,1,4.0,3,2,3.0,2,34.0,1,1,2.0,1,2.0,1,1,1
3,48.0,1,0,7629.0,4,3,4.0,1,2,2.0,0,46.0,0,1,2.0,0,2.0,0,1,1
1,36.0,1,3,2348.0,2,0,3.0,2,2,2.0,1,46.0,1,1,2.0,1,1.0,1,1,1
0,60.0,0,5,14782.0,0,3,3.0,0,2,4.0,2,60.0,0,0,2.0,0,1.0,1,1,0
3,24.0,1,6,1851.0,2,1,4.0,2,1,2.0,0,33.0,1,1,2.0,1,1.0,1,1,1
1,27.0,3,6,3416.0,2,0,3.0,3,2,2.0,0,27.0,1,1,1.0,0,1.0,0,1,1
0,15.0,4,4,1778.0,2,2,2.0,0,2,1.0,3,26.0,1,2,2.0,2,1.0,0,1,0
3,48.0,1,9,8858.0,4,1,2.0,3,2,1.0,2,35.0,1,0,2.0,1,1.0,1,1,1
0,36.0,2,4,8086.0,0,3,2.0,3,2,4.0,0,42.0,1,1,4.0,0,1.0,1,1,0
3,60.0,1,4,13756.0,4,3,2.0,3,2,4.0,2,63.0,0,0,1.0,0,1.0,1,1,1
3,12.0,2,9,1503.0,2,0,4.0,2,2,4.0,3,41.0,1,2,1.0,1,1.0,0,1,1
3,18.0,3,6,1126.0,4,2,4.0,0,2,2.0,3,21.0,1,2,1.0,1,1.0,1,1,1
0,8.0,3,3,1237.0,2,0,3.0,0,2,4.0,3,24.0,1,1,1.0,1,1.0,0,1,0
0,24.0,3,6,3758.0,1,4,1.0,0,2,4.0,2,23.0,1,2,1.0,2,1.0,0,1,1
0,18.0,1,6,1245.0,2,0,4.0,2,2,2.0,0,33.0,1,1,1.0,1,1.0,0,1,0
3,24.0,1,4,1940.0,3,3,4.0,3,2,4.0,3,60.0,1,1,1.0,1,1.0,1,1,1
2,24.0,1,0,1275.0,3,0,2.0,1,2,4.0,3,36.0,1,1,2.0,1,1.0,1,1,1
1,12.0,1,4,2121.0,2,0,4.0,3,2,2.0,1,30.0,1,1,2.0,1,1.0,0,1,1
1,18.0,3,3,2039.0,2,0,1.0,0,2,4.0,3,20.0,0,2,1.0,1,1.0,0,1,0
0,24.0,3,4,1201.0,2,2,4.0,3,2,1.0,1,26.0,1,1,1.0,1,1.0,0,1,1
0,7.0,3,6,2329.0,2,2,1.0,0,1,1.0,3,45.0,1,1,1.0,1,1.0,0,1,1
0,9.0,3,6,1082.0,2,3,4.0,3,2,4.0,0,27.0,1,1,2.0,3,1.0,0,1,1
0,18.0,1,4,884.0,2,3,4.0,3,2,4.0,0,36.0,0,1,1.0,1,2.0,1,1,0
3,18.0,3,0,1568.0,0,0,3.0,0,2,4.0,1,24.0,1,2,1.0,3,1.0,0,1,1
3,36.0,3,4,3079.0,4,0,4.0,3,2,4.0,3,36.0,1,1,1.0,1,1.0,0,1,1
3,24.0,1,3,5150.0,2,3,4.0,3,2,4.0,0,33.0,1,1,1.0,1,1.0,1,1,1
3,21.0,1,4,12680.0,4,3,4.0,3,2,4.0,2,30.0,1,0,1.0,0,1.0,1,1,0
3,24.0,3,0,1258.0,2,1,4.0,3,2,1.0,3,25.0,1,1,1.0,1,1.0,1,1,1
3,12.0,1,3,1592.0,3,1,3.0,0,2,2.0,1,35.0,1,1,1.0,1,1.0,0,0,1
3,15.0,3,9,3029.0,2,1,2.0,3,2,2.0,0,33.0,1,1,1.0,1,1.0,0,1,1
1,24.0,3,5,1755.0,2,3,4.0,0,1,4.0,3,58.0,1,1,1.0,3,1.0,1,1,1
1,21.0,2,2,3414.0,2,2,2.0,3,2,1.0,1,26.0,1,1,2.0,1,1.0,0,1,0
3,36.0,2,3,7678.0,1,1,2.0,0,2,4.0,0,40.0,1,1,2.0,1,1.0,1,1,1
3,18.0,3,3,1533.0,2,2,4.0,2,0,1.0,1,43.0,1,1,1.0,3,2.0,0,1,0
3,6.0,3,4,672.0,2,4,1.0,0,2,4.0,3,54.0,1,1,1.0,2,1.0,1,1,1
3,12.0,1,3,1935.0,2,3,4.0,3,2,4.0,3,43.0,1,1,3.0,1,1.0,1,1,1
3,15.0,2,9,3594.0,2,2,1.0,0,2,2.0,1,46.0,1,1,2.0,3,1.0,0,1,1
