season,year,month,hour,holiday,weekday,workingday,weather,temp,feel_temp,humidity,windspeed,target
2,0.0,5.0,9.0,0,0.0,0,0,25.42,30.305,0.69,7.0015,189.0
1,0.0,12.0,4.0,1,1.0,0,0,13.94,15.15,0.46,19.9995,2.0
3,1.0,12.0,13.0,0,5.0,1,2,14.76,17.424999999999997,0.66,8.9981,220.0
1,1.0,3.0,6.0,0,1.0,1,0,7.38,9.85,0.59,8.9981,91.0
2,1.0,4.0,13.0,0,2.0,1,0,22.96,26.515,0.19,16.997899999999998,345.0
3,0.0,12.0,0.0,0,4.0,1,0,13.12,15.909999999999998,0.7,11.0014,50.0
3,1.0,11.0,2.0,0,6.0,0,0,10.66,12.88,0.65,12.998,49.0
0,1.0,9.0,13.0,0,0.0,0,3,29.52,34.85,0.74,6.0032,493.0
1,0.0,3.0,11.0,0,0.0,0,2,17.22,21.21,1.0,15.0013,62.0
2,1.0,6.0,7.0,0,2.0,1,0,19.68,23.485,0.77,19.9995,569.0
1,1.0,3.0,23.0,0,4.0,1,0,19.68,23.485,0.72,12.998,97.0
1,1.0,2.0,10.0,0,4.0,1,3,13.12,16.665,0.7,8.9981,44.0
0,0.0,8.0,11.0,0,3.0,1,0,29.52,33.335,0.54,19.9995,185.0
1,1.0,1.0,6.0,0,3.0,1,0,13.94,14.395,0.36,35.0008,88.0
1,1.0,2.0,22.0,0,3.0,1,2,18.04,21.97,0.47,16.997899999999998,147.0
1,1.0,2.0,6.0,0,1.0,1,0,6.5600000000000005,9.09,0.86,7.0015,72.0
1,1.0,1.0,14.0,0,0.0,0,2,6.5600000000000005,8.334999999999999,0.8,11.0014,182.0
2,0.0,3.0,9.0,0,4.0,1,3,10.66,12.12,0.93,16.997899999999998,132.0
3,1.0,11.0,17.0,0,2.0,1,0,13.12,15.15,0.53,15.0013,627.0
2,1.0,5.0,10.0,0,2.0,1,2,23.78,27.275,0.68,27.9993,157.0
1,1.0,2.0,13.0,0,4.0,1,2,17.22,21.21,0.77,0.0,137.0
3,0.0,11.0,8.0,0,2.0,1,0,14.76,16.665,0.71,16.997899999999998,419.0
0,0.0,7.0,20.0,0,3.0,1,0,32.800000000000004,41.665,0.75,15.0013,309.0
1,0.0,1.0,20.0,0,1.0,1,3,6.5600000000000005,8.334999999999999,0.59,11.0014,78.0
2,0.0,6.0,18.0,0,2.0,1,0,25.42,31.06,0.51,22.0028,538.0
3,0.0,10.0,12.0,0,1.0,1,0,17.22,21.21,0.44,15.0013,170.0
3,0.0,11.0,10.0,0,3.0,1,3,18.86,22.725,0.94,0.0,36.0
2,0.0,3.0,5.0,0,4.0,1,2,11.48,13.635,0.93,15.0013,9.0
2,1.0,5.0,17.0,1,1.0,0,0,33.62,39.395,0.56,19.9995,405.0
2,0.0,5.0,2.0,0,0.0,0,0,17.22,21.21,0.77,7.0015,50.0
1,1.0,2.0,23.0,0,5.0,1,2,12.3,15.909999999999998,0.7,6.0032,65.0
1,1.0,1.0,7.0,0,3.0,1,0,13.12,14.395,0.42,23.9994,263.0
0,0.0,8.0,13.0,0,5.0,1,0,31.98,35.605,0.52,16.997899999999998,204.0
2,0.0,4.0,23.0,0,1.0,1,2,26.24,31.06,0.47,15.0013,48.0
1,0.0,3.0,22.0,0,5.0,1,0,25.42,31.06,0.5,11.0014,118.0
1,0.0,3.0,2.0,0,1.0,1,0,10.66,14.395,0.65,6.0032,1.0
0,0.0,8.0,8.0,0,6.0,0,2,28.7,33.335,0.84,16.997899999999998,76.0
1,0.0,2.0,20.0,0,4.0,1,0,19.68,23.485,0.59,22.0028,139.0
2,1.0,5.0,14.0,0,3.0,1,0,25.42,30.305,0.69,6.0032,240.0
3,0.0,12.0,18.0,0,1.0,1,0,18.04,21.97,0.77,0.0,399.0
0,0.0,7.0,16.0,0,6.0,0,0,31.16,34.09,0.45,19.0012,425.0
0,0.0,6.0,18.0,0,2.0,1,3,32.800000000000004,37.88,0.55,19.9995,504.0
1,0.0,3.0,20.0,0,5.0,1,0,12.3,15.15,0.56,11.0014,76.0
3,0.0,12.0,16.0,0,1.0,1,2,13.12,16.665,0.57,6.0032,214.0
2,1.0,4.0,0.0,0,1.0,1,0,18.04,21.97,0.72,7.0015,48.0
3,1.0,10.0,21.0,0,4.0,1,2,22.14,25.76,0.77,12.998,283.0
0,0.0,8.0,5.0,0,3.0,1,0,26.24,30.305,0.73,0.0,28.0
1,0.0,1.0,9.0,0,3.0,1,3,9.02,10.605,0.87,19.9995,58.0
2,1.0,5.0,15.0,0,0.0,0,2,28.7,31.82,0.39,27.9993,502.0
1,1.0,1.0,2.0,0,5.0,1,0,10.66,13.635,0.48,8.9981,11.0
1,1.0,3.0,5.0,0,4.0,1,0,17.22,21.21,0.77,15.0013,29.0
2,0.0,6.0,7.0,0,0.0,0,2,27.06,30.305,0.78,11.0014,71.0
1,1.0,2.0,15.0,0,4.0,1,0,22.14,25.76,0.33,8.9981,217.0
2,1.0,4.0,1.0,0,2.0,1,2,13.12,16.665,0.81,8.9981,7.0
2,0.0,3.0,21.0,0,6.0,0,2,10.66,12.88,0.44,12.998,51.0
3,0.0,11.0,22.0,0,3.0,1,3,17.22,21.21,0.88,15.0013,46.0
0,0.0,7.0,9.0,0,6.0,0,0,28.7,32.575,0.54,15.0013,222.0
2,1.0,5.0,5.0,0,6.0,0,0,22.96,26.515,0.88,6.0032,22.0
1,0.0,12.0,20.0,0,6.0,0,0,10.66,13.635,0.56,8.9981,24.0
3,0.0,12.0,15.0,0,5.0,1,0,17.22,21.21,0.41,6.0032,199.0
2,0.0,6.0,13.0,0,2.0,1,0,26.24,31.06,0.44,15.0013,209.0
3,0.0,10.0,15.0,0,1.0,1,0,22.96,26.515,0.6,16.997899999999998,208.0
2,1.0,6.0,16.0,0,0.0,0,0,27.06,31.06,0.54,19.9995,580.0
3,0.0,11.0,14.0,0,4.0,1,3,14.76,16.665,0.87,19.0012,64.0
0,0.0,7.0,5.0,0,3.0,1,0,28.7,32.575,0.54,19.0012,18.0
1,1.0,3.0,22.0,0,5.0,1,0,13.94,14.395,0.31,32.9975,107.0
3,0.0,12.0,1.0,0,0.0,0,0,12.3,15.909999999999998,0.75,6.0032,74.0
2,1.0,4.0,21.0,0,2.0,1,0,22.14,25.76,0.45,0.0,243.0
2,1.0,4.0,18.0,0,0.0,0,0,25.42,30.305,0.25,22.0028,310.0
3,0.0,10.0,3.0,0,6.0,0,3,12.3,13.635,0.81,27.9993,8.0
3,0.0,11.0,7.0,0,3.0,1,0,10.66,13.635,0.81,7.0015,285.0
0,0.0,7.0,17.0,0,5.0,1,0,33.62,34.85,0.21,12.998,461.0
0,1.0,8.0,14.0,0,3.0,1,0,31.16,34.09,0.4,6.0032,301.0
0,0.0,7.0,17.0,0,0.0,0,0,34.44,37.12,0.36,15.0013,363.0
3,1.0,11.0,2.0,0,2.0,1,0,9.84,12.88,0.65,6.0032,2.0
2,0.0,6.0,7.0,0,1.0,1,0,22.96,26.515,0.56,23.9994,328.0
0,0.0,7.0,18.0,0,2.0,1,0,32.800000000000004,40.15,0.66,8.9981,530.0
3,0.0,12.0,10.0,0,0.0,0,0,9.84,14.395,0.44,0.0,194.0
0,1.0,8.0,9.0,0,4.0,1,0,28.7,32.575,0.58,0.0,396.0
0,1.0,8.0,2.0,0,1.0,1,0,25.42,28.03,0.88,8.9981,8.0
1,0.0,1.0,1.0,0,6.0,0,2,1.64,0.0,0.41,26.0027,12.0
2,1.0,5.0,3.0,0,0.0,0,0,22.14,25.76,0.56,6.0032,66.0
2,1.0,3.0,2.0,0,4.0,1,0,21.32,25.0,0.83,6.0032,6.0
0,1.0,8.0,13.0,0,3.0,1,2,31.98,35.605,0.49,12.998,294.0
1,0.0,12.0,12.0,0,3.0,1,3,18.86,22.725,0.88,26.0027,61.0
0,0.0,9.0,23.0,0,0.0,0,0,22.14,25.76,0.68,12.998,54.0
0,1.0,9.0,11.0,0,3.0,1,0,27.06,31.06,0.5,12.998,232.0
2,1.0,5.0,12.0,0,2.0,1,0,26.24,30.305,0.73,12.998,264.0
1,0.0,12.0,0.0,0,5.0,1,0,11.48,14.395,0.7,8.9981,30.0
1,0.0,2.0,21.0,0,1.0,1,2,15.58,19.695,0.87,26.0027,80.0
3,1.0,10.0,15.0,0,4.0,1,2,24.6,30.305,0.6,12.998,353.0
1,1.0,2.0,23.0,0,4.0,1,0,13.12,16.665,0.81,6.0032,73.0
3,0.0,12.0,22.0,0,5.0,1,2,12.3,15.15,0.49,11.0014,106.0
0,1.0,7.0,16.0,0,4.0,1,0,34.44,38.635000000000005,0.47,6.0032,358.0
1,1.0,12.0,19.0,0,6.0,0,0,9.84,10.605,0.48,23.9994,60.0
2,1.0,5.0,11.0,0,6.0,0,0,25.42,31.06,0.38,6.0032,586.0
2,0.0,6.0,18.0,0,3.0,1,0,36.9,40.91,0.37,15.0013,459.0
3,1.0,11.0,9.0,0,2.0,1,3,13.12,15.15,0.81,22.0028,110.0
2,1.0,5.0,17.0,0,1.0,1,2,27.06,31.06,0.69,16.997899999999998,508.0
3,1.0,9.0,10.0,0,5.0,1,2,26.24,29.545,0.78,8.9981,245.0
0,0.0,6.0,7.0,0,3.0,1,0,28.7,33.335,0.79,0.0,311.0
2,1.0,6.0,9.0,0,0.0,0,0,22.96,26.515,0.68,11.0014,274.0
2,0.0,4.0,3.0,0,5.0,1,3,13.94,16.665,0.76,11.0014,1.0
3,0.0,12.0,14.0,0,1.0,1,2,13.12,16.665,0.53,8.9981,111.0
2,0.0,6.0,21.0,0,6.0,0,2,27.06,31.06,0.47,7.0015,185.0
1,1.0,2.0,21.0,0,3.0,1,3,9.84,11.365,0.87,12.998,129.0
0,0.0,8.0,6.0,0,1.0,1,0,28.7,32.575,0.65,19.0012,95.0
2,1.0,4.0,12.0,0,2.0,1,0,24.6,31.06,0.33,23.9994,244.0
0,1.0,7.0,8.0,0,1.0,1,2,27.06,30.305,0.83,11.0014,455.0
3,1.0,11.0,23.0,0,2.0,1,0,12.3,14.395,0.56,15.0013,205.0
2,1.0,5.0,2.0,0,0.0,0,2,22.14,25.76,0.83,19.0012,93.0
1,0.0,2.0,9.0,0,0.0,0,0,11.48,14.395,0.56,7.0015,45.0
