,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,"2,21,19,25,3","2,23,19,25,3","2,24,19,25,3","2,26,19,25,3","2,27,19,25,3","2,28,19,25,3","2,29,19,25,3","2,30,19,25,3","2,31,19,25,3","2,32,19,25,3","2,34,19,25,3","2,35,19,25,3","2,36,19,25,3","2,37,19,25,3","2,38,19,25,3","2,39,19,25,3","2,40,19,25,3","2,28,6,3","2,31,6,3","2,33,20,2,28,6,3,3",41
0,3.0,18.0,3.0,0.0,1950.0,2.0,1.0,4.0,3.0,2.0,1.0,0.0,34.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.14175632451293982,0.07938015631784628,0.0,0.0708781622564699,0.0307435202118938,0.12969535373916802,0.12229539040451552,0.10584020842379506,0.02539367286139878,0.0,0.18937554627561426,0.061147695202257754,0.11470895451524073,0.054175695949324885,0.0670995670995671,0.10584020842379506,0.12229539040451551,16.0,1.0,2.125,1.0
1,3.0,24.0,3.0,4.0,1525.0,3.0,1.0,4.0,0.0,2.0,3.0,0.0,34.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.11086071532422216,0.06207935301780287,0.05223318262775723,0.08314553649316661,0.02404300939648105,0.09906858594411515,0.0,0.08277247069040382,0.06677070033574502,0.0,0.07405069437700301,0.04782063342740671,0.03953407400373501,0.042368172473189976,0.11119127785794453,0.08277247069040382,0.09564126685481342,16.0,9.0,2.125,1.0
2,1.0,18.0,3.0,9.0,7511.0,4.0,3.0,1.0,3.0,2.0,4.0,1.0,51.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.18200542793447708,0.30575607902735563,0.5788378545006165,0.5460162838034313,0.3552532004792836,0.12448880321400904,0.47105675760426463,0.4076747720364742,0.46823032423826866,0.23350743020580736,0.3647178789938817,0.0,0.2290064254739974,0.2086736678335278,0.5910694244027577,0.4076747720364742,0.47105675760426463,1.0,16.0,51.0,0.0
3,0.0,16.0,1.0,4.0,1175.0,2.0,4.0,2.0,3.0,2.0,3.0,0.0,68.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.01594387755102041,0.04024523907384573,0.042708636231462635,0.07409976666456455,0.03150953933738087,0.07369081216682345,0.06377551020408163,0.050219889346006526,0.0,0.05705545304457609,0.0,0.10283923653973982,0.06528865922098127,0.03603495270161937,0.06377551020408163,0.07369081216682345,4.0,9.0,17.0,1.0
4,1.0,12.0,3.0,4.0,1372.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,36.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.033246098672094604,0.05585106382978724,0.04699273873133306,0.0498691480081419,0.02163082550293246,0.038607743167528415,0.028681927458973553,0.07446808510638298,0.05953563153165933,0.0,0.06662134602311352,0.04302289118846033,0.03469122906973064,0.03811746402178141,0.043931377264710594,0.0,0.08604578237692066,4.0,9.0,9.0,0.0
5,3.0,15.0,1.0,4.0,5045.0,4.0,3.0,1.0,0.0,2.0,4.0,0.0,59.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3667490549578366,0.06845690403821103,0.17279764351281,0.36674905495783655,0.23861701456769882,0.08006197416542057,0.0,0.2738276161528441,0.31274727699752525,0.0,0.24497426434883945,0.15820006271558482,0.1509511600671035,0.1401622492637662,0.19115760782427452,0.2738276161528441,0.31640012543116963,1.0,16.0,59.0,1.0
6,0.0,18.0,3.0,2.0,1239.0,4.0,0.0,4.0,3.0,2.0,4.0,2.0,61.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.05043693009118541,0.021218660090423346,0.09006978772899098,0.0,0.07845857279262075,0.07770460959548448,0.06724924012158055,0.07277628032345014,0.0770378660697631,0.0601631543167913,0.0,0.03048143576108632,0.03442240373395566,0.03860028860028861,0.0,0.07770460959548448,16.0,16.0,3.8125,1.0
7,0.0,9.0,3.0,3.0,959.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,29.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0390387537993921,0.024635224003288124,0.034857516719976736,0.0,0.0064496369827228995,0.0,0.0520516717325228,0.024889267193140083,0.0,0.04656696125084976,0.03007212292254625,0.021618713006045648,0.026643329443796188,0.02737694404361071,0.0,0.0,1.0,4.0,29.0,0.0
8,3.0,48.0,1.0,6.0,3578.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,47.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2601046815934865,0.048550803300043424,0.18382655158240854,0.2601046815934865,0.16923125433562466,0.24701389013998232,0.22439636249608028,0.1942032132001737,0.05105531123405999,0.3337063980600634,0.1737399242497815,0.11219818124804012,0.10451682334694395,0.09940545646496639,0.13235529902196572,0.1942032132001737,0.22439636249608025,16.0,1.0,2.9375,1.0
9,0.0,18.0,4.0,4.0,2278.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,28.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.123643074250977,0.07802438690231539,0.0,0.0718294759412247,0.11229214333327328,0.0,0.123643074250977,0.10237858797938242,0.0,0.11061474215791008,0.07143305111320163,0.1354730478270503,0.06328832583208313,0.08024691358024691,0.0,0.14286610222640325,9.0,9.0,3.111111111111111,0.0
10,1.0,42.0,3.0,6.0,3965.0,2.0,2.0,4.0,3.0,2.0,3.0,0.0,34.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.09607928661432587,0.16140631784628745,0.2037094122482532,0.1441189299214888,0.12502364886170145,0.2749022645792423,0.2486672938225149,0.21520842379504995,0.18215349694992197,0.0,0.19253180538020784,0.12433364691125744,0.11676637229766088,0.11015724843029394,0.14786756453423122,0.0,0.24866729382251487,16.0,9.0,2.125,0.0
11,3.0,12.0,1.0,0.0,1264.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,57.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,0.09188717650479791,0.01715154146765089,0.0,0.0918871765047979,0.059784322381282715,0.08026014736880033,0.07927249921605518,0.06860616587060356,0.07435254803675856,0.07859230243113846,0.06137710012625036,0.07927249921605518,0.03127275029278638,0.10535089181530255,0.03960237293570627,0.0,0.07927249921605518,16.0,16.0,3.5625,1.0
12,1.0,12.0,3.0,3.0,1289.0,2.0,0.0,4.0,3.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.031234855093534943,0.05247231871471993,0.03311241265926839,0.04685228264030241,0.0,0.0820617219449799,0.0808403888366259,0.03498154580981329,0.01497454327643007,0.040073369396256914,0.06259104593570942,0.040420194418312946,0.03206406482448644,0.10743457242873812,0.04060445727112394,0.0,0.08084038883662589,16.0,1.0,1.3125,1.0
13,2.0,18.0,3.0,3.0,2864.0,2.0,0.0,2.0,3.0,2.0,1.0,3.0,34.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.13880003877096056,0.11658706035605731,0.0735717221537197,0.10410002907822041,0.0,0.09236672852072711,0.17961743493258076,0.15544941380807642,0.039800759761037814,0.26711434433874276,0.13906963193163058,0.08980871746629036,0.08191688032159024,0.2387064510751792,0.21853455186788523,0.0,0.17961743493258073,4.0,1.0,8.5,0.0
14,3.0,24.0,3.0,6.0,3430.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0,31.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2493457400407095,0.1396276595744681,0.17622277024249897,0.062336435010177375,0.16223119127199345,0.17455456068603958,0.21511445594230166,0.18617021276595747,0.10278841758484261,0.0,0.16655336505778381,0.10755722797115082,0.09983224131927959,0.09529366005445353,0.2639089305755973,0.18617021276595747,0.21511445594230164,9.0,4.0,3.4444444444444446,1.0
15,3.0,12.0,1.0,0.0,2292.0,2.0,4.0,4.0,3.0,2.0,2.0,0.0,42.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.16661820296597848,0.03110073816760747,0.0,0.08330910148298924,0.1445418427193038,0.1543408939413047,0.14374412041392287,0.12440295267042988,0.06691256442994278,0.0,0.2225891036224143,0.07187206020696142,0.13635932010255436,0.0,0.08080808080808081,0.12440295267042988,0.14374412041392284,16.0,4.0,2.625,0.0
16,2.0,6.0,3.0,4.0,709.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,27.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.03436076378792285,0.0288618106817195,0.024284148513495,0.0386558592614132,0.022356057261777133,0.014718864287387176,0.029643566426256925,0.038482414242292665,0.017007928626597942,0.06612572281290803,0.03442750315625911,0.022232674819692693,0.013705567689045043,0.039395454798021895,0.017356100689434023,0.0,0.0,4.0,4.0,6.75,1.0
17,1.0,24.0,0.0,5.0,1358.0,4.0,3.0,4.0,3.0,2.0,3.0,0.0,40.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.03290685276727731,0.0,0.05814152623647075,0.09872055830183192,0.06423030838115659,0.08703406777523555,0.08516776418940107,0.0737082066869301,0.058873599092069795,0.0,0.1318830727396329,0.04258388209470053,0.034248092931978606,0.0,0.0433702100368767,0.0737082066869301,0.08516776418940106,16.0,9.0,2.5,0.0
18,0.0,36.0,2.0,0.0,4455.0,2.0,0.0,2.0,1.0,2.0,2.0,3.0,30.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.1209020842379505,0.0,0.16192933992439662,0.0,0.14969283153476137,0.09313264346190028,0.241804168475901,0.13510190570766537,0.4155008393956351,0.432650286491211,0.1396989651928504,0.27328838666793276,0.0,0.16750841750841752,0.241804168475901,0.2793979303857008,4.0,4.0,7.5,0.0
19,0.0,11.0,1.0,4.0,1322.0,3.0,0.0,4.0,0.0,2.0,4.0,0.0,40.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.017938558402084238,0.04528017536648856,0.07207763884850248,0.0,0.08443980038553696,0.0,0.07175423360833695,0.07800948913163412,0.0,0.0641934544041954,0.041455001567889616,0.0749533124426297,0.03672834361282436,0.04192720859387526,0.0,0.08291000313577923,16.0,16.0,2.5,1.0
20,0.0,18.0,1.0,4.0,884.0,2.0,3.0,4.0,3.0,2.0,4.0,0.0,36.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.01199522362136344,0.03027812029045075,0.03213143355626635,0.04181118748817557,0.052876213810870695,0.05544057698338037,0.04798089448545376,0.050393278794470454,0.0,0.0,0.027720288491690184,0.019244769410945467,0.024559648830360617,0.059804393137726466,0.04798089448545376,0.05544057698338037,16.0,16.0,2.25,0.0
21,1.0,12.0,1.0,6.0,385.0,2.0,1.0,4.0,0.0,2.0,3.0,3.0,58.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,0.009329262382475527,0.005224164133738602,0.019780106863953966,0.013993893573713289,0.0060698745033739045,0.016916785270326265,0.0,0.020896656534954407,0.012862344540596777,0.03590747994777094,0.018694765465669613,0.01207275007839448,0.04000886272275504,0.03208868144690782,0.004369087702421037,0.020896656534954407,0.02414550015678896,16.0,9.0,3.625,1.0
22,2.0,12.0,2.0,4.0,2247.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,36.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.10889793544635068,0.060980243161094225,0.0769625976161118,0.08167345158476301,0.0,0.07013529825067108,0.0,0.12196048632218845,0.06549392348796519,0.0,0.21821889870836167,0.07046095954844779,0.13351058778843417,0.062427071178529754,0.07900432900432901,0.12196048632218845,0.14092191909689558,4.0,4.0,9.0,1.0
23,1.0,12.0,1.0,4.0,691.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,35.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.01674420858776776,0.009376356925749023,0.02366762570215098,0.025116312881651642,0.032682726871413256,0.03896805808276434,0.04333646911257447,0.03750542770299609,0.02733248214876815,0.021482310514207546,0.033553462173448574,0.021668234556287237,0.03500775488241067,0.01919764405178641,0.016634599967933303,0.0,0.04333646911257447,16.0,9.0,2.1875,0.0
24,3.0,60.0,1.0,4.0,13756.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,63.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.18665870603560575,0.47116043293601867,1.0,0.6506274831304787,0.484821734195687,0.8627155848228285,0.746634824142423,0.861981999022714,0.8553130634831809,0.0,0.0,0.4266767954926724,0.0,0.540323873657207,0.746634824142423,0.8627155848228284,4.0,16.0,15.75,1.0
25,1.0,24.0,0.0,3.0,6872.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,55.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1665212755646021,0.0,0.176531031648171,0.24978191334690317,0.2166866368165479,0.23678094654728232,0.14366049963415908,0.37299174989144596,0.10297756971043963,0.21364173350743018,0.0,0.2154907494512386,0.2087804260437439,0.19092070900705674,0.26438993105659775,0.37299174989144596,0.4309814989024772,4.0,1.0,13.75,0.0
26,0.0,60.0,3.0,4.0,14027.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,27.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5710079244463743,0.48044252637347584,0.5098502471648735,0.22114838872422274,1.0,0.8797115083098149,0.7613438992618324,0.4368625967434309,0.8721631536404899,0.6811207147712927,0.43985575415490746,0.43525464501630107,0.0,0.5511864678531345,0.7613438992618324,0.8797115083098149,16.0,4.0,1.6875,0.0
