checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
1,12.0,3,9,3386.0,2,3,3.0,3,2,4.0,2,35.0,1,0,1.0,1,1.0,1,1,0
1,24.0,3,6,1823.0,2,4,4.0,3,2,2.0,0,30.0,2,1,1.0,0,2.0,0,1,0
1,36.0,3,2,1977.0,4,3,4.0,3,2,4.0,2,40.0,1,1,1.0,0,1.0,1,1,0
1,18.0,3,6,3509.0,2,1,4.0,0,1,1.0,3,25.0,1,1,1.0,1,1.0,0,1,1
1,21.0,1,4,1602.0,2,3,4.0,2,2,3.0,0,30.0,1,1,2.0,1,1.0,1,1,1
1,6.0,3,4,1374.0,4,4,4.0,0,2,3.0,1,75.0,1,1,1.0,0,1.0,1,1,1
1,48.0,3,1,3051.0,2,0,3.0,3,2,4.0,0,54.0,1,1,1.0,1,1.0,0,1,0
0,12.0,3,6,1158.0,1,0,3.0,1,2,1.0,0,26.0,1,1,1.0,1,1.0,1,1,1
0,48.0,3,4,6560.0,0,1,3.0,3,2,2.0,1,24.0,1,1,1.0,1,1.0,0,1,0
3,9.0,1,3,2406.0,2,4,2.0,3,2,3.0,0,31.0,1,1,1.0,0,1.0,0,1,1
1,12.0,3,3,1289.0,2,0,4.0,3,1,1.0,1,21.0,1,1,1.0,3,1.0,0,1,1
1,36.0,3,3,3446.0,2,3,4.0,3,2,2.0,0,42.0,1,1,1.0,1,2.0,0,1,0
0,30.0,2,6,1919.0,0,2,4.0,3,2,3.0,2,30.0,2,1,2.0,0,1.0,0,1,0
1,18.0,3,3,2473.0,2,4,4.0,3,2,1.0,0,25.0,1,1,1.0,2,1.0,0,1,0
3,24.0,2,0,2375.0,1,0,4.0,3,2,2.0,0,44.0,1,1,2.0,1,2.0,1,1,1
0,21.0,1,3,2745.0,3,1,3.0,3,2,2.0,0,32.0,1,1,2.0,1,1.0,1,1,1
0,18.0,3,6,1301.0,2,3,4.0,2,1,2.0,3,32.0,1,1,1.0,3,1.0,0,1,1
3,24.0,1,7,5507.0,2,3,3.0,3,2,4.0,2,44.0,1,0,2.0,1,1.0,0,1,1
1,24.0,2,4,4870.0,2,0,3.0,3,2,4.0,2,53.0,1,0,2.0,1,2.0,0,1,0
3,12.0,2,9,1503.0,2,0,4.0,2,2,4.0,3,41.0,1,2,1.0,1,1.0,0,1,1
3,12.0,1,6,930.0,4,3,4.0,3,2,4.0,3,65.0,1,1,4.0,1,1.0,0,1,1
3,24.0,3,9,6313.0,4,3,3.0,3,2,4.0,0,41.0,1,1,1.0,0,2.0,1,1,1
3,24.0,1,2,1597.0,2,3,4.0,3,2,4.0,2,54.0,1,0,2.0,1,2.0,0,1,1
1,24.0,0,3,2483.0,1,0,4.0,3,2,4.0,3,22.0,2,1,1.0,1,1.0,1,1,1
1,36.0,1,3,6229.0,2,2,4.0,0,0,4.0,2,23.0,1,2,2.0,3,1.0,1,1,0
3,24.0,3,6,3105.0,4,2,4.0,3,2,2.0,0,25.0,1,1,2.0,1,1.0,0,1,1
0,18.0,2,4,2899.0,4,3,4.0,3,2,4.0,0,43.0,1,1,1.0,1,2.0,0,1,1
3,9.0,3,6,2753.0,0,3,3.0,3,0,4.0,0,35.0,1,1,1.0,1,1.0,1,1,1
0,20.0,3,9,6468.0,4,4,1.0,1,2,4.0,3,60.0,1,1,1.0,0,1.0,1,1,1
1,15.0,3,0,806.0,2,0,4.0,0,2,4.0,1,22.0,1,1,1.0,3,1.0,0,1,1
0,48.0,3,3,9960.0,2,2,1.0,0,2,2.0,0,26.0,1,1,1.0,1,1.0,1,1,0
3,12.0,3,0,1542.0,2,1,2.0,3,2,4.0,0,36.0,1,1,1.0,1,1.0,1,1,1
1,36.0,3,9,8335.0,4,3,3.0,3,2,4.0,2,47.0,1,0,1.0,1,1.0,0,1,0
3,21.0,2,0,2580.0,1,2,4.0,3,2,2.0,3,41.0,0,1,1.0,3,2.0,0,1,0
3,21.0,3,3,2241.0,2,3,4.0,3,2,2.0,3,50.0,1,1,2.0,1,1.0,0,1,1
0,18.0,1,3,1928.0,2,2,2.0,3,2,2.0,3,31.0,1,1,2.0,3,1.0,0,1,0
0,12.0,1,1,1424.0,2,1,4.0,3,2,3.0,1,26.0,1,1,1.0,1,1.0,0,1,1
3,18.0,1,6,629.0,1,3,4.0,3,2,3.0,1,32.0,0,1,2.0,0,1.0,1,1,1
1,24.0,0,3,3552.0,2,1,3.0,3,2,4.0,0,27.0,0,1,1.0,1,1.0,0,1,0
3,24.0,3,4,2255.0,4,2,4.0,3,2,1.0,1,54.0,1,1,1.0,1,1.0,0,1,1
3,24.0,1,9,2346.0,2,1,4.0,3,2,3.0,0,35.0,1,1,2.0,1,1.0,1,1,1
0,15.0,3,7,1514.0,0,0,4.0,3,1,2.0,3,22.0,1,1,1.0,1,1.0,0,1,1
0,48.0,4,0,3844.0,0,1,4.0,3,2,4.0,2,34.0,1,0,1.0,3,2.0,0,1,0
1,15.0,3,6,1053.0,2,2,4.0,2,2,2.0,3,27.0,1,1,1.0,1,1.0,0,0,1
1,24.0,2,6,1024.0,2,2,4.0,2,2,4.0,3,48.0,2,1,1.0,1,1.0,0,1,0
3,48.0,3,0,3914.0,4,0,4.0,1,2,2.0,3,38.0,0,1,1.0,1,1.0,0,1,0
3,12.0,1,3,1935.0,2,3,4.0,3,2,4.0,3,43.0,1,1,3.0,1,1.0,1,1,1
0,54.0,4,0,15945.0,2,2,3.0,3,2,4.0,2,58.0,1,2,1.0,1,1.0,1,1,0
2,18.0,3,6,2100.0,2,0,4.0,3,0,2.0,3,37.0,2,1,1.0,1,1.0,0,1,0
3,12.0,2,7,1555.0,3,3,4.0,3,2,4.0,2,55.0,1,0,2.0,1,2.0,0,1,0
1,27.0,1,0,2442.0,2,3,4.0,3,2,4.0,0,43.0,2,1,4.0,0,2.0,1,1,1
1,18.0,3,4,976.0,2,2,1.0,0,2,2.0,0,23.0,1,1,1.0,3,1.0,0,1,0
3,15.0,1,6,1316.0,1,0,2.0,2,2,2.0,1,47.0,1,1,2.0,3,1.0,0,1,1
3,12.0,1,3,3331.0,2,3,2.0,3,2,4.0,1,42.0,2,1,1.0,1,1.0,0,1,1
0,7.0,3,6,2329.0,2,2,1.0,0,1,1.0,3,45.0,1,1,1.0,1,1.0,0,1,1
3,6.0,1,6,1237.0,0,0,1.0,0,2,1.0,1,27.0,1,1,2.0,1,1.0,0,1,1
3,15.0,1,9,3368.0,3,3,3.0,3,2,4.0,2,23.0,1,2,2.0,1,1.0,1,1,1
1,18.0,0,4,1442.0,2,1,4.0,3,2,4.0,2,32.0,1,0,2.0,3,2.0,0,1,0
0,8.0,3,3,1237.0,2,0,3.0,0,2,4.0,3,24.0,1,1,1.0,1,1.0,0,1,0
3,12.0,3,6,1262.0,2,0,3.0,3,2,2.0,0,25.0,1,1,1.0,1,1.0,0,1,1
2,10.0,1,4,781.0,2,3,4.0,3,2,4.0,2,63.0,1,0,2.0,1,1.0,1,1,1
0,48.0,2,2,6224.0,2,3,4.0,3,2,4.0,2,50.0,1,0,1.0,1,1.0,0,1,0
