,29,"2,22,19,30,3","2,23,19,21,3","2,26,19,31,3","2,29,19,22,3","2,29,19,2,24,5,3,3","2,29,19,2,28,5,3,3","2,31,19,31,3","2,2,24,5,3,19,31,3","2,2,28,5,3,19,29,3","2,2,21,19,31,3,13,3","2,2,22,19,30,3,13,3","2,2,26,19,31,3,13,3","2,2,29,19,31,3,13,3","2,2,30,19,2,28,5,3,3,13,3","2,2,31,19,29,3,13,3","2,2,31,19,31,3,13,3","2,2,31,19,2,24,5,3,3,13,3","2,2,23,19,21,3,19,2,23,19,29,3,3","2,2,23,19,21,3,19,2,2,23,19,21,3,5,3,3","2,2,23,19,21,3,19,2,2,23,19,29,3,5,3,3","2,2,23,19,29,3,19,2,23,19,21,3,3","2,2,23,19,29,3,19,2,2,23,19,21,3,5,3,3","2,2,23,19,29,3,19,2,2,23,19,29,3,5,3,3","2,2,2,23,19,21,3,5,3,19,2,23,19,21,3,3","2,2,2,23,19,29,3,5,3,19,2,23,19,21,3,3","2,2,2,23,19,29,3,5,3,19,2,2,23,19,21,3,5,3,3","2,2,2,23,19,29,3,5,3,19,2,2,23,19,29,3,5,3,3",34
0,0.0,0.0,0.25806451612903225,0.75,0.0,0.0,0.0,1.0,0.9013878188659972,0.0,0.7020633698789296,0.5,0.679178699175393,0.5,0.6556709199970722,0.5,0.7310585786300049,0.7112346163129425,0.0,0.13109690529051923,0.0,0.0,0.0,0.0,0.13109690529051923,0.0,0.0,0.0,1.0
1,2.0,0.25,0.0,0.0,1.0,0.7745966692414834,0.9145291883606758,0.4444444444444444,0.5773502691896257,0.9145291883606758,0.6196576165729375,0.5621765008857981,0.5,0.6607563687658172,0.5792565246754073,0.6607563687658172,0.6093175418435606,0.6404574756806275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.15591397849462366,0.0,0.5,0.3872983346207417,0.49236596391733095,0.0,0.0,0.49236596391733095,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.038978494623655914,0.061564106461137434,0.07795698924731183,0.038978494623655914,0.09871486036009967,0.125,0.061564106461137434,0.07795698924731183,0.19742972072019935,0.25,1.0
3,1.0,0.0,0.8870967741935485,0.0,0.5,0.4183300132670378,0.4539389893593698,0.0,0.0,0.4539389893593698,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6653225806451614,0.8355193263643121,0.7682483420668408,0.6653225806451614,0.7063936122898274,0.649519052838329,0.8355193263643121,0.7682483420668408,0.815673084418728,0.7499999999999999,0.0
4,2.0,0.25,0.0,1.0,1.0,0.8660254037844386,0.8703882797784892,0.4444444444444444,0.6454972243679028,0.8703882797784892,0.6607563687658172,0.5621765008857981,0.7310585786300049,0.6607563687658172,0.5754909822150437,0.6607563687658172,0.6093175418435606,0.655995056316095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.0,0.5,0.0,0.5,1.0,0.894427190999916,0.7745966692414834,0.4444444444444444,0.6666666666666667,0.7745966692414834,0.6390927451628512,0.6224593312018546,0.6224593312018546,0.6607563687658172,0.6321851352960552,0.6607563687658172,0.6093175418435606,0.6607563687658172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,0.18817204301075272,0.0,0.5,0.4330127018922193,0.504524979109513,0.0,0.0,0.504524979109513,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.04704301075268818,0.08162677724454284,0.09408602150537636,0.04704301075268818,0.10844700405346404,0.125,0.08162677724454284,0.09408602150537636,0.21689400810692808,0.25,1.0
7,1.0,0.0,0.17204301075268819,0.0,0.0,0.36228441865473593,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.043010752688172046,0.07136011662660992,0.08602150537634409,0.043010752688172046,0.10369516947304253,0.125,0.07136011662660992,0.08602150537634409,0.20739033894608505,0.25,1.0
8,1.0,0.0,0.23118279569892475,0.0,0.5,0.4213074886588179,0.4572645941803379,0.0,0.0,0.4572645941803379,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.05779569892473119,0.1111560913583523,0.11559139784946237,0.05779569892473119,0.12020368018984609,0.125,0.1111560913583523,0.11559139784946237,0.24040736037969218,0.25,1.0
9,2.0,0.25,0.0,0.5,1.0,0.8366600265340756,0.7547827301263389,0.4444444444444444,0.6236095644623235,0.7547827301263389,0.6869103646603125,0.5621765008857981,0.6224593312018546,0.6607563687658172,0.5655884332146677,0.6607563687658172,0.6093175418435606,0.6510390418754253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
