,22,23,28,29,30,31,35,"2,35,10,3","2,34,12,3","2,23,16,3","2,26,16,3","2,28,16,3","2,29,16,3","2,30,16,3","2,31,16,3","2,33,16,3","2,2,35,10,3,16,3","2,2,34,12,3,16,3","2,2,22,11,3,16,3","2,35,6,3","2,35,18,26,3","2,35,5,3","2,2,2,22,11,3,16,3,16,3","2,2,28,16,3,16,3","2,2,29,16,3,16,3","2,2,30,16,3,16,3","2,2,31,16,3,16,3","2,2,34,16,3,16,3","2,2,35,18,26,3,16,3","2,2,35,6,3,16,3","2,34,16,3","2,2,35,5,3,9,3",36
0,21.25,1.5,1.5,0.0,0.0,0.0,8.0,-0.17430228529897368,0.48426150121065376,0.00018478801874645398,0.1561219845243514,0.000421875,0.0,0.0,0.0,0.0,2.197149380028117e-08,0.1135637779926373,0.285310734377592,6.4e-09,0.00013999020068595198,2.8284271247461903,0.02322492578471763,7.508468627929687e-11,0.0,0.0,0.0,7.531639865637998e-08,2.743423840664189e-12,2.62144e-25,0.004223085250394645,0.9930373454058692,1.0
1,27.83,1.5,2.0,1.0,1.0,11.0,35.0,-0.16929168741427916,0.9443099273607745,0.00018478801874645398,0.1561219845243514,0.001,1.0,1.0,0.10939426317087203,0.0,9.340388853458637e-08,0.8420612183431554,0.42171971488261417,1.225e-07,0.0004099713020088594,5.916079783099616,0.075001804550087,1e-09,1.0,1.0,0.0013091326134924838,0.0010702266953106767,6.890652861604103e-11,1.8382656249999994e-21,0.10228813490777092,0.9999854659974841,1.0
2,31.25,1.125,0.0,0.0,1.0,1.0,19.0,-0.17226093060520925,0.3220338983050848,7.795744540866027e-05,0.09831588529813381,0.0,0.0,1.0,8.218952905399852e-05,0.0,5.157698185361746e-08,0.03339679324565804,0.4610779523171237,3.61e-08,0.00025998180127391083,4.358898943540674,0.09802188891752366,0.0,0.0,1.0,5.552000235159091e-13,1.356779619695042e-09,1.757230955667412e-11,4.7045880999999996e-23,0.0011070564598794537,0.9996727592241058,0.0
3,23.25,4.0,0.25,1.0,0.0,0.0,0.0,-0.17578690689443874,0.5181598062953996,0.0035041283554883124,0.02913063268092854,1.953125e-06,1.0,0.0,0.0,0.0,0.0,0.13912051128343444,0.3365066424904254,0.0,8.999370044096913e-05,0.0,0.038104908601951544,7.450580596923829e-18,1.0,0.0,0.0,1.3463192575912615e-07,7.288469314300997e-13,0.0,0.005125261388330805,0.0,1.0
4,16.08,0.335,0.0,0.0,1.0,1.0,126.0,-0.15240411676586427,0.5181598062953996,2.0584221808236943e-06,0.09831588529813381,0.0,0.0,1.0,8.218952905399852e-05,0.0,3.046265587479265e-07,0.13912051128343444,0.10593109724680416,1.5876e-06,0.001329906906516544,11.224972160321824,0.0011886949354015812,0.0,0.0,1.0,5.552000235159091e-13,1.3463192575912615e-07,2.3521430153894598e-09,4.001504141376e-18,0.005125261388330805,0.9999999996442515,0.0
5,29.5,1.085,1.0,0.0,0.0,0.0,13.0,-0.17337439680180802,0.7687651331719129,6.993414126670867e-05,1.0,0.000125,0.0,0.0,0.0,0.0,3.551501998175298e-08,0.4543400629997898,0.4432105806560682,1.69e-08,0.00012999090063695542,3.605551275463989,0.08706234467231491,1.953125e-12,0.0,0.0,0.0,2.0724807059238253e-05,2.196538694584265e-12,4.826809e-24,0.027468197753085406,0.998524404202992,0.0
6,30.67,2.5,2.25,0.0,0.0,0.0,0.0,-0.17578690689443874,0.8498789346246973,0.0008555000867891387,0.23304506144742831,0.001423828125,0.0,0.0,0.0,0.125,0.0,0.613862628172161,0.45564993824438954,0.0,4.999650024498285e-05,0.0,0.09460061227260085,2.886507578194141e-09,0.0,0.0,0.0,0.00011895384031889231,1.2497375367457126e-13,0.0,0.04918048672044774,0.0,0.0
7,21.67,1.165,2.5,1.0,1.0,1.0,20.0,-0.1720753529057761,0.5714285714285714,8.657207121060052e-05,0.05689576695493855,0.001953125,1.0,1.0,8.218952905399852e-05,0.0,5.423388182849481e-08,0.1865889212827988,0.2968388287423275,4e-08,0.000279980401371904,4.47213595499958,0.02615544587418058,7.450580596923828e-09,1.0,1.0,5.552000235159091e-13,3.886160739705885e-07,2.1947390725313525e-11,6.400000000000001e-23,0.007297491312681946,0.9997390691695938,0.0
8,44.25,11.0,1.5,1.0,0.0,0.0,0.0,-0.17578690689443874,0.0,0.072874919393046,0.4551661356395084,0.000421875,1.0,0.0,0.0,0.125,0.0,0.0,0.4999999988765781,0.0,2.9997900146989706e-05,0.0,0.12499999915743357,7.508468627929687e-11,1.0,0.0,0.0,0.0,2.6994330793707386e-14,0.0,0.0,0.0,0.0
9,27.75,1.29,0.25,0.0,0.0,0.0,0.0,-0.17578690689443874,0.4661016949152542,0.00011753552805179452,0.05689576695493855,1.953125e-06,0.0,0.0,0.0,0.125,0.0,0.10126096144201693,0.4205727691045437,0.0,7.999440039197257e-05,0.0,0.07439152295923308,7.450580596923829e-18,0.0,0.0,0.0,4.047813878757471e-08,5.118924950510441e-13,0.0,0.003433524719135676,0.0,0.0
